sentence,count
Какво?,448149
Благодаря.,281094
Хайде.,221125
Не!,208239
Да!,176849
Защо?,170626
Съжалявам.,164111
Не знам.,154852
Разбира се.,134440
По дяволите!,99131
Добре ли си?,98806
Така ли?,98772
Какво е това?,95372
Здравей.,92154
Знам.,91406
Какво става?,88238
Хей!,87407
Точно така.,84935
Мамка му!,84451
Какво правиш?,82759
Моля?,74142
Какво има?,70883
Ало?,70348
Здрасти.,70049
Всичко е наред.,68004
Здравейте.,65483
Нищо.,65028
Наистина?,64827
Господи!,62888
Наистина ли?,61557
Да вървим.,60037
Извинете.,57262
Аз...,57205
Добре!,54229
Чакай.,53202
Татко!,52295
Чудесно.,52279
Благодаря ти.,51899
Моля те.,50070
Мамо!,49364
Спри!,48599
"Не, не.",48478
Чао.,47613
Давай!,47143
Ето.,44947
Извинявай.,44456
Ясно.,44327
"Да, сър.",44186
Така е.,43833
Това е.,40536
Не мога.,38897
Благодаря ви.,38632
Разбирам.,38388
Обичам те.,37638
Боже!,36430
Нали?,35584
Как си?,35477
Добре съм.,34906
Кой?,34396
Къде?,33923
Помощ!,33614
Ела тук.,32477
Какво правиш тук?,32476
Аз също.,32374
Ти...,32052
Няма проблем.,31923
Виж.,31518
Страхотно.,31463
Добро утро.,31293
Супер.,31134
"О, не.",30975
Ей!,30837
Какво стана?,29960
"О, Боже!",29736
О!,29520
Бързо!,29316
Боже мой!,29234
За какво?,29018
"О, да.",28958
Лека нощ.,28822
Как?,28800
Да тръгваме.,28747
Спокойно.,27807
Довиждане.,27399
Сега!,27322
Сериозно?,27301
Ела.,27043
И?,26890
Почакай.,26794
Може би.,26780
Защо не?,26767
Веднага!,26642
За какво говориш?,26431
Къде отиваш?,26241
Много добре.,26159
Е?,25676
А?,25537
Млъкни!,25414
Браво.,25121
Недей.,25030
Ами...,24693
Така.,23992
Няма значение.,23983
Какво искаш?,23909
Чакай малко.,23775
"Не, не, не.",23466
Знаеш ли какво?,23409
Извинете ме.,23127
Успокой се.,22848
"Да, разбира се.",22781
Внимавай!,22592
Стига!,22341
Какво искаш да кажеш?,22307
Моля ви!,22192
Достатъчно.,21943
Не разбирам.,21810
Няма.,21576
Разбра ли?,21449
Готово.,21360
Тръгвай!,21311
Престани!,21224
Мерси.,21130
Разбрано.,21064
Спрете!,21026
Аз съм.,20937
"Не, благодаря.",20877
Ехо?,20792
Хубаво.,20646
Сигурен ли си?,20588
Сър?,20570
Върви.,20525
Но...,20439
"Да, да.",20411
Ето го.,20154
А ти?,20123
"Добре, добре.",20043
Не мърдай!,19891
Няма нищо.,19704
Глупости.,19515
Махай се!,19392
Млъквай!,19201
Кой си ти?,19085
Къде е?,19072
Какво каза?,18982
Седни.,18287
