sentence,count
בסדר.,476670
מה?,448534
תודה.,299586
היי.,281682
כן?,257908
לא!,228344
קדימה.,221919
טוב.,189015
באמת?,187446
למה?,130599
אלוהים.,120168
לעזאזל.,118730
נכון.,112636
בבקשה.,98974
זה בסדר.,97724
מה זה?,95828
שלום.,90736
סליחה.,86790
מה קרה?,83526
אני...,76897
אני לא יודע.,73234
אוקיי.,72647
הלו?,71069
אני מצטער.,69842
אני יודע.,65794
מה קורה?,59023
אתה בסדר?,58578
מה אתה עושה?,56771
יופי.,55955
כמובן.,55658
אלוהים אדירים.,54572
בטח.,53477
אה.,53277
אבא!,53236
"לא, לא.",51916
הנה.,47692
עכשיו!,44954
וואו.,44788
תודה לך.,43223
אני יודעת.,42187
את בסדר?,42011
אז...,42005
נהדר.,40866
בדיוק.,40833
"כן, אדוני.",40747
אמא!,40298
אני בסדר.,39593
אני מצטערת.,39146
מצטער.,38696
בחייך.,38284
זה...,37222
כלום.,37110
חכה.,36154
"לא, לא, לא.",35591
אני לא יודעת.,35566
להתראות.,34584
מה שלומך?,34073
מי?,33151
למה לא?,32494
ביי.,31609
אתה...,31078
זהו זה.,31059
זה נכון.,30591
חרא.,29631
גם אני.,29206
בוא.,28371
אני לא.,27708
מי זה?,27493
בהחלט.,27387
עצור!,27384
על מה אתה מדבר?,26797
רגע.,26017
הצילו!,25916
אולי.,25665
לילה טוב.,25575
ו...,25416
לא יודע.,25061
אין בעיה.,24872
איך?,24732
"כן, כן.",24358
בוקר טוב.,24174
תודה רבה.,23927
אדוני.,23864
אני מבין.,23858
מהר!,23207
תפסיק!,23199
הכל בסדר?,22935
הו!,22178
לך.,21495
שום דבר.,21228
בואי.,20976
מי אתה?,20897
מה את עושה?,20505
כאן.,20309
הי.,19859
מצטערת.,19577
בוא נלך.,19153
רואה?,19123
איפה?,19039
סלח לי.,18958
זה טוב.,18862
מה לעזאזל?,18788
הבנתי.,18444
או!,18400
יש!,18336
אתה בטוח?,17788
אני אוהב אותך.,17722
אתה יודע מה?,17717
ובכן...,17698
שתוק!,17523
לאן אתה הולך?,17413
בוא הנה.,17366
ברצינות?,17170
חכה רגע.,17132
אני לא יכול.,16977
זה הכל.,16955
מה אתה רוצה?,16850
אבל...,16539
"כן, בטח.",16428
תראה.,16137
אהה!,16119
מספיק!,15922
איפה הוא?,15860
לא נכון.,15775
מגניב.,15649
אתה צודק.,15467
קיבלתי.,15467
רק רגע.,15353
"אוי, אלוהים.",15298
מה זאת אומרת?,15207
"לא, תודה.",15168
למה אתה מתכוון?,15165
תירגע.,15140
מה זה היה?,15121
אז מה?,15079
אל תדאג.,15025
"בסדר, בסדר.",14932
שב.,14886
בסדר גמור.,14884
זין!,14825
מצוין.,14776
הא?,14627
חכי.,14610
מעולה.,14453
לך תזדיין.,14173
זה נהדר.,14101
זוזו!,14067
מה אתה עושה כאן?,14029
יפה.,14003
שם.,13964
בואו נלך.,13595
כל הכבוד.,13553
בהצלחה.,13530
אין לי מושג.,13446
אני אוהבת אותך.,13317
בן זונה!,13179
אתה יודע?,13065
"קדימה, קדימה.",13059
הממ.,12992
אוקי.,12832
זוז!,12826
נחמד.,12799
מה אמרת?,12780
"אוי, לא.",12777
ברור.,12666
לחיים.,12621
ג'ק!,12605
"אה, כן.",12513
כֵּן.,12509
שקט!,12457
מתי?,12405
זה אני.,12401
את...,12225
"כן, המפקד.",12220
לא יודעת.,12159
מה עשית?,12126
עדיין לא.,11948
הוא...,11864
הנה הוא.,11826
אל תזוז.,11785
מה אתה אומר?,11760
מותק.,11748
אתה מבין?,11737
על מה את מדברת?,11586
זהירות!,11495
על מה?,11347
קום.,11298
זה נגמר.,11294
הוא מת.,11244
"טוב, בסדר.",11031
הנה לך.,10986
"לא, אני לא.",10943
תודה לאל.,10882
אכן.,10864
מה זה אומר?,10810
לא אכפת לי.,10803
"כן, אני יודע.",10762
אש!,10750
