sentence,count
Ja.,34096
Nein.,19757
Danke.,10604
Was?,9810
Hallo.,7419
Gut.,4794
Bitte.,4670
Komm!,3431
Okay.,3321
Oh!,3285
Hm?,3108
Hier.,3053
Los!,2978
Ah!,2966
Musik,2958
Warum?,2801
Hey!,2753
So.,2744
Scheiße!,2561
Ich?,2556
Natürlich.,2352
Und?,2321
Wieso?,2190
Guten Tag.,1925
Was ist das?,1827
Wirklich?,1818
Entschuldigung.,1774
Was ist los?,1760
Doch.,1747
Nichts.,1664
Ich weiß nicht.,1652
Ok.,1645
Halt!,1628
Klar.,1627
Genau.,1625
Gute Nacht.,1607
Ich weiß.,1522
Ach!,1490
Aha.,1400
Was ist?,1392
Na?,1343
Mama!,1338
Hilfe!,1338
He!,1296
Da!,1296
Also...,1292
Guten Morgen.,1275
Keine Ahnung.,1274
"Ja, Sir.",1265
Moment.,1246
"Ja, ja.",1228
Guten Abend.,1203
Wer?,1180
Was denn?,1178
Nee.,1162
Vielen Dank.,1153
Kommen Sie.,1144
Wie bitte?,1134
Auf Wiedersehen.,1080
Warte!,1078
"Nein, nein.",1072
Ach so.,1057
Hi.,1054
Schnell!,1053
Warum nicht?,1035
Mhm.,1007
Wie?,995
Tut mir leid.,988
Prost!,985
Papa!,980
Verdammt!,976
Morgen.,971
Au!,964
Jawohl.,946
Alles klar.,946
Du?,937
Aber...,925
Wo?,901
Hör auf!,896
Was ist denn?,890
Tschüss.,879
OK.,871
Komm schon.,867
Ach ja?,866
Wiedersehen.,863
Verstanden?,854
Richtig.,834
Komm her.,829
Äh...,825
Achtung!,814
Ich weiß es nicht.,814
Danke schön.,801
Verzeihung.,800
Sicher.,800
Sehr gut.,782
Was ist passiert?,780
Schon gut.,772
Na ja.,766
Ich liebe dich.,766
Ruhe!,766
Und du?,764
Schön.,762
Was soll das?,759
Jetzt?,758
Ich auch.,746
Stimmt.,730
In Ordnung.,726
Vorsicht!,717
Stopp!,717
Es tut mir leid.,716
Bravo!,705
Alles in Ordnung?,699
Hä?,679
Raus!,676
Oh Gott!,675
Weiter!,672
Mein Gott!,664
"Nein, danke.",662
Ha!,639
Sofort!,628
Wow!,613
Echt?,613
Na los!,606
Wer ist das?,601
Was ist denn los?,595
Gehen wir.,586
Na und?,577
Sie?,577
Na gut.,576
Vielleicht.,562
Tschüs.,556
Heil Hitler!,545
Ich verstehe.,537
Keine Sorge.,537
Sir?,536
Quatsch!,529
Aua!,528
Tut mir Leid.,527
Schneller!,527
Verstehe.,525
Tja.,525
Hau ab!,518
Kommt!,514
Nicht!,510
Viel Glück.,509
Wohin?,508
Super.,507
Schade.,500
Entschuldigen Sie.,495
Feuer!,494
Amen.,493
Fertig.,491
Ich kann nicht.,491
Toll.,491
"Ja, natürlich.",490
Und dann?,486
Oder?,484
Wer sind Sie?,480
Ähm...,479
Setzen Sie sich.,478
"Ja, klar.",475
Pass auf!,474
Kein Problem.,469
Tag.,466
Ciao.,462
Wunderbar.,460
Niemals!,458
Siehst du?,458
Oh nein!,458
Entschuldige.,453
Was meinst du?,453
"Ja, bitte.",452
Spinnst du?,452
Setz dich.,451
Warten Sie!,439
Was willst du?,433
Natürlich nicht.,422
Mist!,421
Ganz ruhig.,419
Ich komme.,414
Vorwärts!,413
Und jetzt?,412
Wie geht's?,410
Vater!,410
Das geht nicht.,409
Herein.,404
Wo ist er?,401
Was machst du da?,398
Noch nicht.,397
Wann?,397
Bitte sehr.,395
"Oh, Gott!",392
Geh!,392
Unsinn!,391
Oh ja.,391
Pst!,390
Das ist gut.,382
Aufhören!,381
Verstehst du?,377
Also gut.,377
Gern.,375
Spannende Musik,373
"Oh, mein Gott!",372
Runter!,368
Moment mal.,367
Und Sie?,363
Mann!,362
Was machst du?,358
Alles.,357
Sehen Sie?,356
Darf ich?,354
Weg!,354
Komm mit.,353
Ich auch nicht.,353
Zwei.,352
Bitte schön.,348
Wer ist da?,348
Egal.,347
Wozu?,344
Einen Moment.,344
Unglaublich!,342
"Ja, ich weiß.",342
Was soll das heißen?,340
Was wollen Sie?,338
Beeilung!,336
Großartig.,336
Was ist denn das?,330
Zurück!,330
Verschwinde!,329
Was machst du hier?,327
"Ja, genau.",327
"Nein, nein, nein.",325
Es tut mir Leid.,324
Wo ist sie?,321
Grüß Gott.,320
Das ist alles.,315
Fuck!,315
Gerne.,314
Ende.,313
Das stimmt.,313
Bis dann.,312
Polizei!,312
Gar nichts.,312
Nun?,311
Wo bist du?,311
Was heißt das?,308
Da ist er.,307
Vergiss es.,306
Du auch.,306
Wir?,304
Versprochen.,303
Keine Angst.,303
Wer bist du?,300
Weißt du was?,300
Hör zu.,299
Stehen bleiben!,298
Marie!,297
"Oh, ja.",295
Hände hoch!,295
Tatsächlich?,295
Wieso nicht?,295
Alex!,294
Warte mal.,292
Ist gut.,291
Wie heißt du?,289
Na klar.,288
Alle.,286
Bist du verrückt?,286
Gott!,286
Das...,285
Weiß nicht.,285
Paul!,284
Sehr schön.,284
Komm rein.,281
Schau!,280
Gott sei Dank.,280
Mach schon!,279
Was war das?,275
Eins.,274
Selbstverständlich.,271
Er ist tot.,270
Wahnsinn!,269
Steh auf!,268
Lass mich!,267
Einverstanden.,266
Hm-hm.,265
Mutter!,264
Ehrlich?,264
Arschloch!,263
Wie geht es dir?,263
Ich muss los.,262
"Ja, danke.",262
Maria!,262
Hoch!,262
Yes.,261
Beeil dich!,261
Was machst du denn hier?,260
Alles okay?,259
Komm mal her.,256
Guck mal.,256
Ach was!,256
Freut mich.,255
Aufmachen!,254
Was ist hier los?,254
Ruhig.,254
Wofür?,253
Gratuliere.,253
Meine Herren.,252
Cool.,252
"Oh, nein.",251
Anna!,251
Endlich!,248
Idiot!,248
Ich kann nicht mehr.,248
Was meinen Sie?,246
Nicht schießen!,246
Überqueren.,246
Peter!,246
Langsam.,244
Ah ja.,243
Unmöglich.,242
Wie geht es Ihnen?,240
Nö.,239
Danke sehr.,237
Nicht wahr?,237
Wie viel?,237
Aus dem Weg!,236
Gib her!,236
Wen?,236
Wie meinst du das?,234
Bitte nicht.,233
Aus!,231
Was ist denn hier los?,231
Das ist...,231
Na komm.,231
Ich nicht.,230
Wie denn?,229
Bis später.,229
Wer war das?,228
Hören Sie...,228
Sie kommen!,228
Tom!,227
"Nein, Sir.",226
Bis morgen.,226
Lauf!,226
Das reicht.,225
"Ja, sicher.",225
Gehen Sie!,224
Interessant.,224
Lass mich in Ruhe!,222
Warum denn?,221
Bewegung!,220
Tot.,220
Was hast du?,220
Drei.,220
Ich muss gehen.,219
Hopp!,219
Nie.,218
Nicht schlecht.,218
Ich meine...,217
Pardon.,217
Servus.,217
Mami!,217
Wo willst du hin?,216
Was hat er gesagt?,216
Eben.,216
Ich verstehe nicht.,216
Ausgezeichnet.,216
Später.,214
Weg da!,213
Ist ja gut.,212
Wie geht's dir?,211
"Eins, zwei, drei.",211
"Ja, aber...",209
Verstehen Sie?,209
Ist das klar?,208
Huch!,208
Hurra!,208
Martin!,208
Raus hier!,208
Wo warst du?,206
Zum Wohl.,206
Na also.,205
Noch mal.,205
Allerdings.,205
Das ist nicht wahr.,204
Niemand.,204
Sei still!,204
Lass mich los!,204
Beruhige dich.,203
Bestimmt.,203
Das weiß ich nicht.,203
Jack!,202
Max!,202
Mach's gut.,202
"Ja, gut.",201
Telefon,200
Was ist das denn?,200
Gute Idee.,200
Herzlichen Glückwunsch.,199
Woher weißt du das?,198
Majestät!,198
Oh mein Gott!,197
"Ja, und?",197
Was soll denn das?,197
Auf keinen Fall.,196
Bis gleich.,195
Kommen Sie rein.,193
Ich bin's.,192
Alles Gute.,191
