sentence,count
हाँ.,893
ठीक है.,681
नहीं!,542
क्या?,505
चलो.,364
मैं,352
हाँ।,250
धन्यवाद.,240
ठीक है।,175
अरे!,174
नहीं।,159
ओह.,152
रुको!,135
क्यों?,134
जाओ!,130
सर ...,125
वाह!,123
आह!,113
यह क्या है?,113
क्या हुआ?,110
कृपया!,105
हां.,103
हे भगवान!,103
हैलो?,100
धन्यवाद।,99
हे.,96
चलो चलते हैं.,92
आओ.,91
मैं माफी चाहता हूँ.,88
नमस्ते।,86
सं,80
बंद करो!,79
आ जाओ।,78
तुम क्या कर रहे हो?,76
तो ...,75
जैक.,73
तुम ठीक हो?,72
देखो.,67
अच्छा.,66
जानेमन मैं तुम पर कसम खाता हूँ।,66
तो मेरी तस्वीर पर क्लिक करें ...,63
"हाँ, सर.",63
उह...,56
हाय.,56
हम्म.,55
अच्छा है.,55
यह ठीक है.,51
"ओह, मेरे भगवान.",50
पिताजी!,50
यहाँ.,49
मैं नहीं जानता.,49
माँ!,49
भाड़ में जाओ!,48
सच में?,48
क्या हो रहा है?,48
कृपया।,46
अरे नहीं.,46
वह क्या है?,43
चलिए चलते हैं।,43
यहाँ आओ.,42
मुझे पता है.,42
लेकिन...,41
तुम कौन हो?,41
ठीक,40
कौन?,39
सच?,39
सर।,39
चुप रहो!,39
"ओह, नहीं!",38
शुक्रिया।,37
इंदर ...,37
हे भगवान।,37
नमस्कार.,36
मेरी मदद करो!,35
अलविदा।,35
सुनो.,34
भागो!,34
अरे यार!,33
शुक्रिया.,33
समझे?,33
जल्दी करो!,33
क्यूं कर?,32
उठो!,32
मैं तुमसे प्यार करता हूँ!,32
आप?,32
"नहीं, नहीं.",31
"ओह, हाँ.",31
चिंता मत करो.,31
भगवान!,31
मम.,31
अच्छा।,30
कोई .1,30
अलविदा.,30
हां।,30
कभी नहीं.,30
जेरी.,29
तुम कहाँ जा रहे हो?,29
तुम्हारा नाम क्या है?,29
क्षमा करें.,29
"नहीं, नहीं, नहीं.",29
मि.,28
ठीक।,28
क्यों नहीं?,28
वह कहाँ है?,27
आ जाओ!,27
और...,27
चले जाओ!,27
हुह?,27
एक मिनट रुको.,27
कैसे?,27
शॉन!,26
सिकंदर.,26
ज़रूर.,26
है,26
छी.,26
मत करो!,26
अब!,26
खैर...,26
तुम क्या चाहते हो?,26
करें.,26
जल्दी!,25
वहाँ.,25
रुको।,25
क्या बात है?,24
यहाँ।,24
हेलो!,23
यीशु.,23
बिल्कुल.,23
यह अच्छा है.,23
मैं ठीक हूँ.,23
सही।,22
मुझे माफ करना.,22
क्या चल रहा है?,22
तुम्हें पता है क्या?,22
वह वहाँ है!,22
बस...,22
वाह।,22
बाहर जाओ!,22
ऐ!,22
जब भी मैं अपना चेहरा देख,21
वास्तव में?,21
महारानी !,21
उसे मुक्का मारो!,21
प्रिय,21
रुकिए!,21
सैन!,21
इंदर।,21
पापा!,21
भाड़ में जाओ तुम.,21
एंडी.,21
प्लीज़।,21
"कृपया, पिताजी।",21
चले जाओ।,21
चलो।,21
कुछ नहीं.,20
कोई बात नहीं।,20
"ठीक है, ठीक है.",20
बेशक.,20
यह सच है.,20
बिल्कुल नहीं.,20
महोदय...,20
आप कैसे हैं?,20
तुम...,19
स्कॉट.,19
खाली करो.,19
क्या तुम पागल हो?,19
ओक्जा!,19
महोदय।,19
आग!,19
आराम से.,19
देखो।,19
बहुत बहुत धन्यवाद.,19
आपका अभाव एक अभिशाप की तरह है।,19
श्श्श!,18
यार!,18
नकारात्मक.,18
नमस्ते.,18
कोडी!,18
तो क्या?,18
माइक?,18
ऐलिस.,18
मम्मी!,18
शर्मिला।,18
हमारी बैठक एक संयोग नहीं था।,18
अरे।,18
"हे, भगवान!",18
जी श्रीमान।,18
यह कौन है?,18
मुझे नहीं मालूम.,18
बहुत अच्छा.,18
"नहीं, .1",18
सही?,18
चलिए चलते हैं,18
मैं यहाँ हूँ.,18
खुशी के दिन फिर आये,18
क्रिस!,18
आइए,17
बकवास!,17
कौन है?,17
इसका क्या मतलब है?,17
रुकें!,17
"ओह, भगवान.",17
क्या तुम ठीक हो?,17
वह कौन है?,17
है ना?,17
ओह।,17
सब ठीक है?,17
क्या है?,16
रुक जाओ!,16
हिलना मत!,16
नंबर,16
राम।,16
बैठो.,16
क्या हाल है?,16
"हां, महोदय.",16
"जाओ, जाओ, जाओ!",16
©पी,16
बढ़िया.,16
जॉन।,15
तुम क्या कह रहे हो?,15
बधाई।,15
और तुम?,15
बेटा!,15
मुझे बताओ.,15
यहाँ हम चले.,15
बात सुनो,15
क्या तुम?,15
तुम्हें क्या लगता है?,15
हटो!,15
माफ़ कीजिये।,15
"हे परोपकारी।"" हे परोपकारी। ""हे परोपकारी।",15
ए!,15
वह ठीक है.,15
माफ़ कीजिए.,15
रूक जा।,15
आप केवल एक ही मैं के लिए प्रार्थना कर रहे हैं।,14
तुम चले जाओ ...,14
डॉ.,14
पिता!,14
सही है.,14
जूडिथ!,14
मैं मर जाएगा।,14
इसलिए?,14
काफी!,14
समझा।,14
बहुत अच्छे।,14
मुझे पता है।,14
मुझे बताओ।,14
"चलो, चलो!",13
यहाँ आओ।,13
दरवाजा खोलो.,13
वह...,13
आप जानते हैं?,13
क्षमा कीजिय।,13
आप यहां पर क्या कर रहे हैं?,13
एरिक!,13
यह है.,13
मुझे नहीं पता,13
ओवर.,13
मुझे छोड़ दो।,13
इसे रोक,13
अच्छा किया.,13
बेशक।,13
क्या कर रहे हो?,13
यह लो.,13
मुझे क्षमा करें।,13
सुप्रभात.,13
आगे बढ़ो.,12
चलो चलें!,12
कब?,12
"ओह, नहीं।",12
यहाँ तुम जाओ.,12
देखें ...,12
बिल्कुल सही.,12
बस करो!,12
हेलो।,12
कदम!,12
मैं आ रहा हूँ!,12
प्रेज़ीडेंट।,12
वापस जाओ!,12
मुझे?,12
"तुम भी चारों ओर, प्रिय देख सकते हैं।",12
उसका नाम क्या है?,12
कोई नहीं.,12
क्या गलत है?,12
एलएलएम ...,12
शांत रहो!,12
क्या बकवास है?,12
आपका स्वागत है.,12
पता नहीं।,12
कहाँ?,12
तुम उसकी तरह एक प्यारी नहीं मिलेगा।,12
मदद!,12
मैं नहीं कर सकता.,12
आप गूगल पर खोज कर सकते हैं।,12
आप ठीक हैं?,12
पिता।,12
डैनी!,12
आप विकिपीडिया पर जांच कर सकते हैं।,12
ओ!,12
मुझे माफ कर दो।,11
तुम कहाँ हो?,11
तुम यहाँ क्या कर रहे हो?,11
बाहर जाओ।,11
बढ़िया।,11
मैं तुमसे प्यार करता हूँ।,11
मेरी बात सुनो.,11
मुझे नहीं पता।,11
बेटा।,11
मुझे देखो.,11
नीचे जाओ!,11
"हमारे देशी, बैंगलोर",11
आइए।,11
कुछ भी नहीं.,11
कॉपी.,11
रुकिए।,11
हम कहाँ हैं?,11
क्या मतलब?,11
याद है?,11
खड़े हो जाओ!,11
ग्रेट.,11
चलते रहो!,11
आप कहाँ हैं?,11
कहां?,11
जरूर.,11
अगर आप सहमत हैं ...,11
यह बात है.,11
यह बात नहीं है.,10
सावधान!,10
सावधान रहें.,10
स्टीफन!,10
©पी@आरएमएन,10
रोजर कि.,10
परमेश्वर,10
©पी@आरएमएन डी,10
उम...,10
अभी.,10
जागो!,10
पर्याप्त!,10
मदद करो!,10
तुम पागल हो?,10
यह मत करो.,10
मैं भी!,10
कृप्या।,10
मीजा!,10
सब कुछ.,10
तुमने क्या किया?,10
मेरे लिए?,10
एवन?,10
हैलो।,10
वह पागल है.,10
ऐ।,10
ओउ!,10
धत।,10
तैयार हैं?,10
मुझे परवाह नहीं है.,10
कमीनों!,10
माफ़ कीजिये!,10
तुम कैसे हो?,10
ज़रूर।,10
घर जाओ।,10
प्यार है...,10
"हाँ, हाँ.",10
मैं वादा करता हूँ.,10
यह लो।,10
चलिए !,10
अजु!,10
मैं समझ गया.,10
"हाँ, बिल्कुल.",10
"अरे, नहीं!",10
जादूगरनी।,10
भाई,10
बैठिये,10
ठीक है श्रीमान।,10
अधिकतम!,9
आप किस बारे में बात कर रहे हैं?,9
ऐसा क्यों है?,9
मुझे जाना है.,9
ब्रायन!,9
मुझे जाने दो!,9
बस मुझे जानना है,9
बधाई!,9
"हाँ, मैडम.",9
शायद.,9
धत !,9
दो।,9
कभी नहीँ!,9
हिकप!,9
वापस रहें!,9
एलेक्स!,9
हर बार जब कोई आपके नाम का उल्लेख है।,9
"हाँ, मुझे पता है.",9
"हम इस जीवन, जानेमन का आनंद लें।",9
तो क्या हुआ?,9
आप मुझ पर एक जादू कर दिया गया है।,9
हम सुबह से घर पाने के लिए है।,9
पल आनंदित है।,9
मत पूछो ...,9
पीछे रहो!,9
आपका क्या अर्थ है?,9
भाड़ में जाओ।,9
आप क्या सोचते हैं?,9
नहीं तो ...,9
©@ पीआर एम !,9
ना?,9
माफ़ करना।,9
हाँ ।,9
प्रेयसी के बारे में।,9
हम्म हम्म.,9
उसे मिल गया!,9
मुझे क्या करना है.,9
भाई।,9
दिव्या!,9
रुकें।,9
मूड के रोमांटिक आज रात।,9
चलो भी।,9
वह कहां है?,9
ठीक है|,9
चलो समय अब ​​बर्बाद नहीं करते हैं।,9
कृपया सुनेगे।,9
मेरे दिल की हालत ...,9
गुप्त रूप से..,9
"चलो, कोल्ट्स जाओ!",9
टिम!,9
जो भी हो.,9
डोंट वोर्री,9
चीयर्स।,9
कितना?,9
तुम नहीं।,9
तुम उसे क्यों पंच नहीं किया?,9
जाओ।,9
लानत है!,9
मुझे माफ करें।,9
"कि मैं सशक्त महसूस करता हूं, यह तुम्हें पता है.",9
क्या था?,9
मैं तुम्हारा हमेशा के लिए होगा,9
तैयार हो?,9
यह देखो.,9
जयराम!,9
जिम...,9
मैं तुम से शादी करेंगे,9
तुम समझते हो?,9
या ...,8
डुफ्रेन!,8
यीशु मसीह.,8
"हर बार जब मैं तुम्हें देख, मेरी आँखें आँसुओं से गीला मिलता है।",8
भैया!,8
हा!,8
आपकी कृपा।,8
वानर...,8
"मम्मी, पापा!",8
यहाँ रुको.,8
चुप रहो।,8
बिल्कुल।,8
बुरा नहीं है.,8
बूम!,8
यह बहुत अच्छा है.,8
जी सर.,8
बैठ जाओ.,8
बैठिये।,8
"अरे, यार.",8
आप क्या करेंगे?,8
यह काफी है.,8
यह सही है.,8
"हाँ, यह है.",8
महान.,8
मैगी!,8
आप क्या कर रहे हैं?,8
मैं समझता हूँ.,8
यह...,8
गंदे!,8
मीजा।,8
सरस्वती।,8
मूर्ख!,8
मेरी क्रिसमस.,8
मेरी बात सुनो।,8
धत्!,8
शुभ प्रभात।,8
शांति।,8
तुम क्यों नहीं किया?,8
शुभ रात्रि।,8
एक सीट है.,8
संन्जा!,8
शांत हो जाओ.,8
नहीं सर.,8
शायद।,8
तुम यहां क्या कर रहे हो?,8
वह सही है.,8
उसे देखो.,8
आपने क्या कहा?,8
इसके बारे में चिंता मत करो.,8
मैं ठीक हूँ।,8
और क्या?,8
ले लो।,8
तुम तैयार हो?,8
यह नहीं है?,8
कमीने!,8
तो अपनी बाईं ओर में रहते आए हैं।,8
है न?,7
वहाँ तुम जाओ.,7
यह कुछ भी नहीं है.,7
♪अरेनहीं,7
मुझे मत छुओ.,7
हूँ।,7
यह मेरा है!,7
वे आ गए!,7
वौ कहा हॆ?,7
वे क्या कर रहे हैं?,7
यह जीना असंभव है।,7
मम्म।,7
मेरे फ्यूरर...,7
में कसम खाता हूँ।,7
सलाम,7
मम्म.,7
मम-हम्म.,7
लिफ्ट!,7
राम!,7
मैं देख रहा हूँ.,7
ये क्या है?,7
या फिर ...,7
यहां.,7
"सर, धन्यवाद.",7
मुझे देखते हैं.,7
समस्या क्या है?,7
मैं लूंगा.,7
मैं क्या करूं?,7
वह कौन था?,7
मैंने किया.,7
मैल्कॉम!,7
वह क्या कर रहा है?,7
यह कठिन है.,7
वहाँ यह है.,7
"♪शिशु,जीवनबहुतछोटा है",7
बिलकुल।,7
अभी इस वक्त।,7
अभी नहीं.,7
जय!,7
ध्यान रखें।,7
न.,7
अभी।,7
परिवार,7
पर जाओ!,7
तुमने क्या किया है?,7
तुम्हें पता है.,7
के डी के 1 बुला रहा है के डी के 12 को.,7
केल ?,7
चीयर्स.,7
कैसा चल रहा है?,7
ए।,7
आप सब सही?,7
नहींं.,7
कोई बात नहीं.,7
तुम्हारे बिना ...,7
"आओ, सर।",7
"नहीं, बिल्कुल नहीं.",7
"नहीं, नहीं, नहीं।",7
आप मुझे सुन रहे हो?,7
"नहीं, धन्यवाद.",7
कुछ भी नहीं है.,7
कौन है मेरे दरवाजे पर दस्तक दे?,7
कुछ नहीं।,7
काँगस्ट्रप!,7
तुम कहाँ थे?,7
कवर ले लो!,7
देखा?,7
तुमने ऐसा क्यों किया?,7
क्लार्क!,7
बाहर निकल जाओ!,7
टैक्सी!,7
किताब?,7
तुम क्या कहते हो?,7
क्योंकि ...,7
धत्।,7
इसे बंद करो.,7
टूथलेस!,7
गुड ईवनिंग.,7
फिर मिलते हैं।,7
दफा हो जाओ!,7
जैसे क्या?,7
