sentence,count
சரி.,337
ஆமாம்.,249
இல்லை.,199
என்ன?,149
நன்றி.,135
வா.,109
ஆம்.,108
தயவு செய்து.,78
ஏய்!,72
வணக்கம்.,70
ஓ!,64
நான் ...,64
அன்பே மீது நான் சத்தியம் செய்கிறேன்.,54
சர் ...,53
நாம் போகலாம்.,51
ஏன்?,45
போ!,43
எனவே என் புகைப்படத்தை கிளிக் செய்யவும் ...,42
ஆ !,38
இந்தர் ...,38
இங்கே.,38
நல்லது.,36
நான் வருந்துகிறேன்.,34
"ஆம், ஐயா.",33
எனக்கு தெரியும்.,32
விழுங்க!,30
பரவாயில்லை.,29
அது என்ன?,27
தாமஸ்!,25
எனவே...,25
எனக்கு தெரியாது.,24
வாழ்த்துக்கள்.,23
என்ன நடக்கிறது?,23
ஹ்ம்ம்.,23
ஏ.,23
நிறுத்து.,22
நம்பர் 1 ...,22
மன்னிக்கவும்.,22
இல்ல.,21
போகலாம்!,21
கடவுளே.,21
"ஓ, என் கடவுள்.",20
இப்போது!,19
என்ன நடந்தது?,19
அப்படியா?,19
ஜிம்...,18
"இல்லை, இல்லை, இல்லை.",18
சரியா?,17
வாருங்கள்!,16
நீங்கள் ...,16
ஹேய்!,16
இல்லையா?,16
உங்கள் இல்லாத ஒரு சாபம் போல.,16
"இல்லை, இல்லை.",16
நல்ல.,15
வலது.,15
நான் நன்றாக இருக்கிறேன்.,15
ஆனால்...,15
பிரெண்டா!,15
எழுந்திரு.,15
போதும்!,15
ஜாக்.,15
ஜூடித்!,14
அவரை பஞ்ச்!,14
எப்போதெல்லாம் நான் உன் முகத்தை பார்க்க,14
காதலி,14
அப்பா!,14
சீ.,13
ஆமா.,13
ஹலோ?,13
ஹலோ?,13
மால்கம்!,13
போ!,13
"சரி,",13
அடடே !,13
நீங்கள் என்ன செய்கிறீர்கள்?,12
என்னை மன்னிக்கவும்.,12
எப்படி?,12
எல் இறக்க போகிறேன்.,12
நான் விரும்புகிறேன்.,12
எங்கள் கூட்டம் ஒரு தற்செயல் அல்ல.,12
உள்ளே வா.,12
இல,12
உனக்கு என்ன தெரியும்?,12
நீங்கள் போய்விட்டால் ...,12
நிச்சயமாக.,12
நான் வேண்டினேன் மட்டும் தான்.,12
வேண்டாம்.,11
இந்தாருங்கள்.,11
இது என்ன?,11
காத்திருங்கள்.,11
சார்?,11
நீங்கள் நலமா?,11
எவ்வளவு?,10
நான் செய்கிறேன்.,10
"ஓ புரவலர்."" ஓ புரவலர். ""ஓ புரவலர்.",10
எங்கே?,10
என்னை மன்னியுங்கள்.,10
இல்லையெனில் ...,10
ரோஸி?,10
மேரி!,10
உங்களுக்கு தெரியுமா?,10
நான் பார்க்கிறேன்.,10
"ஓ, அப்படியா.",9
கண்டிப்பாக.,9
வருகிறேன்.,9
நான் இல்லை.,9
ம்ம்...,9
கிளார்க் .,9
நீங்கள் என்ன சொல்கிறீர்கள்?,9
