word,count
να,23311367
το,18389351
δεν,13068665
είναι,12899777
θα,12217850
και,11437591
μου,8841658
με,7797568
για,7479545
ο,7224063
την,7146434
τον,6360989
η,6270498
σου,6204994
τα,6149292
που,6008733
σε,5973260
τι,5776042
αυτό,5766964
του,5657651
ότι,5036423
από,4526968
στο,4512696
όχι,3281036
της,3256642
ναι,3109858
τη,3076880
ένα,3068787
αν,2957311
τους,2893208
εδώ,2878759
αλλά,2826584
σας,2788335
μια,2782845
μας,2752246
ήταν,2679151
είσαι,2562414
πρέπει,2537004
είμαι,2421847
οι,2392429
στην,2279904
κι,2262776
πολύ,2219537
γιατί,2069409
τώρα,1957061
εγώ,1940344
πως,1874097
εντάξει,1812394
δε,1732563
κάτι,1703765
ξέρω,1693085
έχει,1678512
τις,1670218
έχω,1597481
μην,1447310
εσύ,1424910
έτσι,1365884
καλά,1319987
θέλω,1310656
αυτή,1281895
στον,1236044
στη,1224195
όταν,1218225
έχεις,1171964
κάνεις,1170632
ξέρεις,1169659
μπορώ,1169142
εκεί,1141982
μόνο,1135548
μαζί,1109962
σαν,1078495
πώς,1047064
όλα,1020806
απ',1019282
τίποτα,1016305
σ',1000198
ευχαριστώ,987738
κάνω,971112
ή,966806
μπορεί,908198
ποτέ,893897
τόσο,890887
κάνει,886980
αυτά,877709
των,853454
έλα,848659
στα,837183
πάμε,835969
μέσα,829182
υπάρχει,816811
πού,813681
απλά,813288
μπορείς,809099
ακόμα,802139
λοιπόν,786767
αυτός,778014
κύριε,777231
έχουμε,774488
πιο,772301
παρακαλώ,759869
σπίτι,759761
τότε,757144
ένας,740566
ίσως,730014
είμαστε,729290
πίσω,727109
πάντα,707248
πριν,702196
μετά,699985
νομίζω,690793
λίγο,685138
πω,672519
Γεια,668498
όπως,658972
ποιος,641138
γι',632516
δουλειά,625010
αλήθεια,611426
όλοι,608103
είπε,589170
δύο,588435
λες,580623
παιδιά,574068
έναν,571971
ας,569074
δω,562480
μη,559604
άλλο,559112
είχε,557818
θέλεις,556406
ζωή,549423
κάνουμε,542329
μ',529273
πάω,516430
έξω,507066
καλό,500118
έχουν,492761
είπα,492621
στις,476992
πάνω,476784
χρόνια,471442
ήμουν,469994
ώρα,469590
επειδή,468558
κοίτα,468242
πες,466525
ούτε,464748
μέχρι,464370
όμως,464011
μία,463953
ωραία,461154
φορά,457076
μένα,455004
είστε,454669
έπρεπε,452711
κάθε,449948
μα,448388
κάτω,448056
κάποιος,447272
θες,438027
σωστά,434644
ήθελα,434598
πράγματα,433797
κανείς,432140
μέρα,431843
είχα,428923
χωρίς,427504
καλή,427073
σένα,425581
μπορούμε,419617
γυναίκα,416170
μόλις,408768
ακριβώς,398273
έκανε,392935
καλύτερα,392599
πάει,392568
αυτόν,392197
θέλει,391996
μαμά,391866
αρέσει,386588
σήμερα,384772
λέει,380202
πόσο,372316
Θεέ,370577
ό,368582
συγγνώμη,367296
πας,365868
έγινε,364248
έκανα,361550
συμβαίνει,360977
λυπάμαι,359200
μέρος,356940
φαίνεται,354977
εμένα,352415
πεις,351988
πολλά,348305
δυο,348255
φυσικά,346187
όσο,341897
στιγμή,340353
κάποιον,338955
είπες,334392
λάθος,334139
γίνει,331748
χρόνο,329174
εσένα,328824
πράγμα,325594
οχι,323883
έχετε,320792
περίμενε,320252
πρόβλημα,316118
ως,313883
άλλη,313029
ε,310833
οπότε,309703
παιδί,308650
βλέπω,307307
έκανες,306990
κάποια,305260
ήσουν,304098
γρήγορα,302505
ειναι,302014
πάλι,301254
φίλε,300154
λένε,296377
υπάρχουν,295594
δικό,294318
όλο,292826
κ.,291318
στους,290698
χρειάζεται,290308
απο,289974
πιστεύω,287893
μπαμπά,284888
λεφτά,284686
ίδιο,283319
μητέρα,280385
Ω,279971
πάρει,279793
γίνεται,279699
πάρω,279437
ιδέα,277477
λέω,275487
ξέρει,275384
πραγματικά,273335
αρκετά,273293
σίγουρα,272916
πήγαινε,272823
εσείς,272285
όλη,271066
κυρία,270582
νομίζεις,266791
νέα,265462
μάλλον,262825
όλους,261102
εμείς,260914
δει,258440
πατέρας,255958
είδα,255312
φορές,254485
σημαίνει,252394
κόσμο,251147
προς,249814
ήδη,248860
ακόμη,246349
κάνουν,245924
καιρό,245435
συγνώμη,242103
σταμάτα,242093
πατέρα,241814
βλέπεις,241434
οτι,240899
μόνος,237911
μωρό,237653
χαρά,236510
όνομα,236323
ν',234543
εκτός,233674
αύριο,225693
τελευταία,224084
αυτές,223591
άνθρωποι,223532
πάρε,222698
πρόκειται,222616
νόμιζα,221718
βράδυ,221458
μπορούσα,221147
αυτοί,220973
καταλαβαίνω,219314
αμέσως,218118
πρώτη,217257
κανένα,216995
πει,216952
αυτούς,216926
δίκιο,216288
μεγάλη,216173
απλώς,216013
ποιο,215995
τέλος,215050
αγάπη,214836
θέση,214392
μπορείτε,214252
μακριά,213412
μάλιστα,213046
ήξερα,212719
απόψε,212356
πότε,209605
συνέβη,209090
δική,208772
τί,207903
πόλη,207784
πια,207703
ποια,206754
ήρθε,206010
ξανά,204484
μήπως,204285
λεπτά,203617
τρόπο,202680
κάνετε,201630
εαυτό,201115
χρειάζομαι,200043
ξέρετε,199408
χέρια,198377
μέρες,196855
κοντά,196518
θέλετε,195723
κατά,195255
μπορούσε,195180
αυτήν,194234
περισσότερο,193249
βρω,193165
είχες,192712
όπλο,192402
κάποιο,191675
τύπος,190850
μιλήσω,190609
λεπτό,188788
κορίτσι,188733
βοήθεια,188639
θέμα,188376
τέτοιο,188312
δεις,188144
έρθει,186846
ανθρώπους,186835
πέρα,186341
κάνε,186164
βρούμε,185960
διάολο,185675
άνθρωπος,185480
πόρτα,185376
μεγάλο,183794
μάτια,183547
γαμώτο,183406
εκείνη,183315
πειράζει,183186
σίγουρος,180578
ιστορία,180538
Ορίστε,180535
μερικές,180191
εννοείς,179200
καθόλου,178520
δρ,178177
αφού,178122
μπροστά,176307
δρόμο,176267
φύγε,176242
δούμε,175747
όλες,175541
ελπίζω,175000
καλός,174988
πιστεύεις,174707
χέρι,174192
ομάδα,173709
κακό,173588
εννοώ,172665
αμάξι,172545
ώρες,172357
θυμάσαι,172247
πήρε,170526
επίσης,170122
πρωί,169891
κεφάλι,169480
ήθελε,169290
καλύτερο,168938
φύγω,168199
βοηθήσω,165524
δώσε,165287
καν,165287
λόγο,165181
ευκαιρία,163974
ελάτε,163628
ξέρουμε,163372
αστυνομία,162886
μιλάς,162777
μόνη,162370
άλλα,162060
νύχτα,161976
χαίρομαι,161918
σχέση,160659
φίλος,160397
βρήκα,159005
φύγουμε,157434
τ',157139
ώστε,156717
ίδια,156521
κανέναν,156358
πήγε,156220
κόρη,154414
πάρεις,154355
αλλιώς,154107
δωμάτιο,153950
αγαπώ,153885
τέλεια,153872
α,153809
δηλαδή,153501
πρώτα,153114
τρεις,152854
πέθανε,152815
γραφείο,152552
όπου,152416
ψέματα,151541
πάνε,150271
ανησυχείς,149858
άντρας,148147
αγόρι,148044
ωραίο,147145
οικογένεια,146403
ενός,145618
έρχεται,145185
είχαμε,144662
καμία,144228
σοβαρά,143807
σκατά,143742
μικρό,142684
νερό,141991
τηλέφωνο,141592
καρδιά,141308
είδες,140807
πούμε,140499
τουλάχιστον,140333
αίμα,139408
τέτοια,139313
άντρες,138986
κόσμος,138964
πέντε,138894
λέμε,137885
τρία,137720
δύσκολο,137356
κάπου,136581
πήρα,136553
νιώθω,136551
καμιά,136499
χρήματα,136130
μυαλό,136106
σχεδόν,135284
θέλουν,134865
δώσω,134050
ποιός,133971
θυμάμαι,133478
ενα,132777
αργότερα,132484
μήνες,130929
συμβεί,130245
μπορούν,129754
μεταξύ,129438
σύντομα,128985
άσε,128957
θέλουμε,128725
άλλος,128664
βέβαια,128004
τρόπος,126327
εάν,126215
ρε,126155
μικρή,126130
υπόθεση,125976
χθες,125949
νεκρός,125551
αντίο,125550
είχαν,125172
γυναίκες,124227
αργά,124086
μπαμπάς,124072
φίλοι,123737
ήθελες,123504
πάρα,123478
εμάς,123230
τρέχει,122740
βρεις,122457
ήρθες,121756
ποιον,121510
αυτο,121250
Ελα,120675
φυλακή,120570
μερικά,120554
πλάκα,120492
σημασία,120291
φύγει,120084
σχολείο,119964
μιλήσουμε,119934
σκοτώσει,119803
όσα,119587
ηταν,119307
υποθέτω,119290
αφήσω,118984
παιχνίδι,117677
καταλαβαίνεις,117521
συνέχεια,117296
μείνε,117205
έρθεις,117186
χάρη,117043
πείτε,117011
όνομά,116437
ήρθα,116266
φύγεις,116223
εμπρός,115798
Τζακ,115180
κατάσταση,114551
πεθάνει,114468
πάρουμε,114285
θεός,114267
σκότωσε,113973
εκείνο,113867
σχέδιο,113732
έτοιμος,113308
γύρω,113142
σκέφτηκα,113136
έλεγα,112459
συγχωρείτε,112355
πολλές,112202
Καλημέρα,111850
άλλους,111670
φαγητό,111628
φοβάμαι,110967
σημαντικό,110897
κοπέλα,110816
κατάλαβα,110725
άντρα,110428
εχω,109643
δολάρια,109455
πρώτο,109426
κανένας,109069
ζωής,108811
εσάς,108207
νοιάζει,107698
τύχη,107284
αυτοκίνητο,107044
άκουσα,107019
πόδια,106993
αστείο,106990
δύναμη,106640
λόγος,106546
γι,106081
θ',105957
αρχή,105854
άσχημα,105640
έρθω,105569
χρειαζόμαστε,105544
όπλα,104892
γονείς,104404
προσπαθώ,103846
υπήρχε,103635
γλυκιά,103431
ενώ,103253
σωστό,103034
έφυγε,102970
τελικά,102717
γη,102644
φίλους,101649
κορίτσια,101507
βασικά,101292
όμορφη,100825
κύριοι,100710
πρόσεχε,100649
ακούς,100275
γιος,100241
νέο,100063
οποίο,99939
βοηθήσει,99832
μπράβο,99749
βρήκες,99583
κάναμε,98907
μείνει,98775
επιλογή,98660
Τζον,98491
μοιάζει,97767
άκου,97589
ακούω,97376
μπορούσες,97236
σκοτώσω,97213
χώρα,96757
περίπου,96557
φέρω,96441
σίγουρη,96321
καλώς,96284
καλύτερη,96173
αφεντικό,96114
κε,96013
βιβλίο,95955
έδωσε,95460
βρει,94864
αφήσεις,94635
μισό,94559
μάθω,94476
περάσει,94369
Απόδοση,93698
περιμένω,93646
θα',93559
κύριος,93416
επόμενη,93389
κα,93349
σώμα,93047
φίλο,92946
έξι,92910
γιο,92828
ηρέμησε,92794
τύπο,92759
περίπτωση,92731
μήνυμα,92485
βρίσκεται,92362
χρειάζεσαι,92068
αφήστε,92045
μιας,91474
πλέον,91076
μείνω,90903
ακούγεται,90754
μιλάω,90194
άλλοι,90164
ραντεβού,90052
νοσοκομείο,89973
Σαμ,89482
αξίζει,89479
καφέ,89093
περιμένετε,88916
συμφωνία,88586
περισσότερα,88512
γειά,88141
πάρτι,87984
ερώτηση,87663
ξέρουν,87530
Χριστέ,87507
είπαν,87404
πήρες,87164
άρεσε,87106
άλλες,86885
εύκολο,86839
αρέσουν,86526
άλλον,86455
δείτε,86356
τελείωσε,86219
ταινία,86088
πρόσωπο,85941
περιμένει,85890
ήμασταν,85493
άφησε,85448
σκέφτομαι,85040
οτιδήποτε,85022
δίπλα,84590
τελευταίο,84527
Έι,84372
καληνύχτα,84255
σειρά,84238
παρά,83707
ποτό,83411
σκάφος,83289
κοιτάξτε,83227
κρεβάτι,83122
μείνεις,83088
άρα,82954
πήγα,82702
έκαναν,82685
βάλω,82614
δουλεύει,82366
ήξερες,82260
έρχομαι,82247
φωτιά,82102
να',81897
λέξη,81806
πόλεμο,81743
εδω,81652
πέρασε,81422
γίνεις,81409
λέτε,80740
αυτού,80725
στοιχεία,80564
σεξ,80465
κάπως,80460
ήξερε,80445
δέκα,80421
γνωρίζω,80364
σχετικά,80352
φύγετε,80116
μάθεις,80103
προφανώς,79979
δες,79897
γίνω,79861
έλεγε,79804
πλευρά,79489
μέλλον,79268
άντε,79239
προσοχή,79208
ακούσει,79032
πουθενά,79012
σημείο,78827
τελειώσει,78617
ερωτήσεις,78574
δικά,78556
εχεις,78525
διαλόγων,78482
στ',78419
αδερφή,78333
περιοχή,78275
παλιά,78167
οικογένειά,77917
κάποτε,77905
φίλη,77725
πόσα,77635
γιατρός,77566
λίγη,77428
ρούχα,77312
κάποιες,77249
πολλοί,77182
πληροφορίες,77114
πάτε,77018
τιμή,76795
μιλάμε,76763
μάθει,76552
ετσι,76551
πραγματικότητα,76417
βοηθήσεις,76391
κομμάτι,76107
μιλάει,76045
κάτσε,76004
δώσει,75958
εχει,75948
είδε,75920
άδεια,75527
βρήκαμε,75336
σκάσε,75222
υπέροχο,74965
περίμενα,74874
εντελώς,74833
αποστολή,74747
υπέροχα,74307
φωτογραφία,74284
σύστημα,74086
δείξω,74008
θάνατο,73949
περίεργο,73713
προβλήματα,73573
ταξίδι,73524
γυρίσω,73521
βρήκε,73343
ασφάλεια,73264
παντού,73239
φοβάσαι,73058
έτοιμοι,73013
θεού,72972
είδους,72829
μιλήσει,72795
σκέφτεσαι,72382
πάρτε,72347
επάνω,72166
φως,72137
οταν,71985
προσπάθησε,71957
νιώθεις,71883
ισως,71259
πλοίο,71189
πρώτος,71142
κατάλαβες,70984
έρχονται,70909
υπό,70612
τόσα,70569
μακάρι,70550
καθώς,70538
σκοτώσεις,70267
υπόσχομαι,70074
εβδομάδα,69997
τμήμα,69958
θεό,69839
βάλε,69776
τρελός,69693
επιτέλους,69670
είτε,69639
δείπνο,69516
καλύτερος,69368
ημέρα,69186
εκείνος,69176
ρωτήσω,69159
συνέχισε,69137
φέρε,69025
χάλια,68962
γνώμη,68871
άτομο,68635
εναντίον,68622
κέντρο,68604
χρόνος,68507
οποία,68416
μικρέ,68324
μέση,68295
σταματήστε,67931
βδομάδα,67717
δώσεις,67683
Φρανκ,67659
άκρη,67600
παίρνει,67589
δώρο,67433
κυρίες,67339
Τσάρλι,67318
μουσική,67187
επίθεση,67074
άνθρωπο,66974
έτοιμη,66865
υποτίθεται,66858
κράτα,66819
λόγια,66478
πτώμα,66352
μήνα,66330
λίστα,66323
λίγα,66320
Μάικλ,66244
αλλάξει,66171
αλλα,65974
χρειαστεί,65866
μαλλιά,65773
Τζο,65726
καιρός,65587
ενδιαφέρον,65543
έλεγχο,65135
συνήθως,65094
όντως,65055
ντε,64995
γιατρέ,64428
στόμα,64120
ευχαριστούμε,63811
νόημα,63783
είδος,63691
όμορφο,63524
μυστικό,63495
ακούστε,63421
κάντε,63379
άνδρες,63193
δικός,63124
γάμο,63060
λείπει,62774
φωτογραφίες,62773
έρευνα,62598
συγχωρείς,62564
περιμένουμε,62501
περιμένεις,62285
ίδιος,62172
ζωντανός,62165
παραπάνω,62083
βάση,62051
σήμα,61994
μαλακίες,61978
εν,61941
έμαθα,61933
Επιμέλεια,61907
εκατομμύρια,61733
ντετέκτιβ,61644
αέρα,61602
