sentence,count
Ja.,132300
Nei.,106443
Takk.,47810
Hei.,43664
Hva?,42283
Kom igjen.,39008
Ok.,31783
Greit.,28379
Herregud.,21959
Hva er det?,21731
Jeg vet ikke.,20650
Hallo?,18755
Unnskyld.,17160
Bra.,16890
Vent.,14481
Beklager.,12513
Faen!,11614
Jeg vet det.,11370
Hvorfor?,10628
Vær så snill.,10065
Kom.,9517
Nå!,9336
Hva mener du?,8513
Her.,8496
Hva gjør du?,8353
Ha det.,8330
Det går bra.,7748
Jeg...,7333
Unnskyld meg.,7281
Ja vel.,7220
Vent litt.,6987
Hvorfor det?,6950
Ingenting.,6875
Jo.,6806
OK.,6800
Stopp!,6510
Pappa!,6431
Hva da?,6368
Hvorfor ikke?,6346
Du...,6278
Flott.,6241
Hva skjer?,6180
"Ja, sir.",6159
Hvordan går det?,6004
Vær så god.,5966
Mamma!,5892
Hold kjeft!,5850
Går det bra?,5705
Jaså?,5544
Jøss.,5533
Se.,5254
Hva skjedde?,5240
Hva gjør du her?,5163
Hva er dette?,5103
Hør her.,5046
Pokker!,5039
Ja visst.,4985
Gå!,4925
Hvem er det?,4882
Hvem?,4826
Virkelig?,4771
Kom inn.,4744
Hvem er du?,4725
Hvor skal du?,4573
Jeg beklager.,4560
Selvsagt.,4523
Jeg elsker deg.,4481
Hjelp!,4440
"Nei, nei.",4435
God morgen.,4435
Kom hit.,4429
Slapp av.,4361
Fint.,4320
Helvete!,4299
Tusen takk.,4177
Jeg kan ikke.,4080
Det stemmer.,4048
Det er greit.,4034
Selvfølgelig.,4031
Slutt!,3980
God natt.,3970
Ja da.,3939
Vet du hva?,3928
Kanskje.,3887
Jeg er lei for det.,3855
Jeg også.,3834
Glem det.,3772
Akkurat.,3727
Løp!,3726
Er du sikker?,3639
Hvor?,3536
Sånn.,3500
Hva snakker du om?,3456
Jeg forstår.,3456
Så...,3420
Vel...,3402
Nettopp.,3397
Du har rett.,3393
Gratulerer.,3219
Alt i orden?,3213
Nei takk.,3201
Fortsett.,3197
Hvordan?,3172
Gjør det.,3070
Å.,3042
Hva vil du?,3036
Og?,3036
Sir?,3020
Lykke til.,3019
Kom an.,2998
Se her.,2992
Ikke sant?,2989
Hvor er han?,2978
Det er meg.,2950
Er det sant?,2935
Hva sa du?,2895
Hjelp meg!,2893
Forstått?,2885
Hvor er du?,2878
Hold opp!,2851
Hva heter du?,2804
Vet ikke.,2790
Se på meg.,2757
Er alt i orden?,2752
Dra til helvete.,2673
Ikke?,2653
Sett deg.,2646
Kom her.,2627
Men...,2622
Der.,2615
Det er sant.,2614
Klar?,2607
Fort!,2602
"Nei, nei, nei.",2589
Takk skal du ha.,2575
Absolutt.,2564
Et øyeblikk.,2562
Vi ses.,2556
Hva var det?,2542
Det er bra.,2532
Slipp meg!,2506
Aldri.,2500
Far!,2479
Hør på meg.,2476
Skynd deg!,2474
Hva er det du gjør?,2458
Stans!,2445
Hvordan det?,2406
Hvordan vet du det?,2378
Ikke gjør det.,2362
Skål.,2347
Hva faen?,2327
Hva er det som skjer?,2316
Denne veien.,2313
Rolig.,2311
Jeg skjønner.,2286
Ut!,2281
Jeg må gå.,2204
Står til?,2204
Nei da.,2203
Okay.,2168
"Å, nei.",2164
Sett i gang.,2157
Ta det rolig.,2137
Hva betyr det?,2110
Utrolig.,2107
Å ja.,2105
Er du ok?,2103
Jeg kommer.,2102
Er du klar?,2101
Jepp.,2085
Oppfattet.,2076
Å nei.,2075
Gi deg.,2047
Hva så?,2044
Forsiktig.,2036
Hva tror du?,2034
Kutt ut.,2023
Mor!,2004
Kult.,1980
Ro deg ned.,1968
Ser du?,1964
Ikke ennå.,1960
Hva er i veien?,1951
Perfekt.,1926
Kjør!,1924
"Ja, ja.",1870
Jeg tror ikke det.,1862
Hvor har du vært?,1857
Vær forsiktig.,1844
Sånn ja.,1838
Fantastisk.,1836
Stille!,1834
Hva sier du?,1831
Jeg mener det.,1826
Hvordan har du det?,1820
Ikke vær redd.,1817
Og du?,1808
Jeg forstår ikke.,1808
Forstår du?,1806
Skjønner du?,1791
Seriøst?,1774
Jeg lover.,1769
Jeg vet.,1767
Mener du det?,1766
"Sånn, ja.",1762
Kom nå.,1760
Hva med deg?,1754
"Å, ja.",1751
Ned!,1745
Amen.,1738
Kom deg ut!,1732
Velkommen.,1711
Bli med meg.,1708
Det er ikke sant.,1708
Hva driver du med?,1694
Hvor er hun?,1680
Tuller du?,1679
Der er han.,1678
Ingen.,1676
Hva har skjedd?,1674
Og så?,1672
Jeg gjør det.,1661
Riktig.,1655
John.,1649
Hva i helvete?,1638
Mange takk.,1633
Det holder.,1624
Ta det med ro.,1619
Si det.,1614
God dag.,1609
Ikke jeg heller.,1608
Kom tilbake!,1607
Det er...,1606
Jeg er her.,1604
Jeg tror det.,1600
Sam!,1600
"Nei, sir.",1596
Han er død.,1595
Skjønner.,1590
Jack!,1590
Hva skal vi gjøre?,1559
Hva skal jeg gjøre?,1554
Faen ta deg!,1543
Klart det.,1522
Se på dette.,1517
Farvel.,1513
To.,1503
Over.,1498
Hvordan da?,1496
Klart.,1485
Kaptein.,1481
Javel.,1481
Forsvinn!,1469
Se opp!,1465
Tilbake!,1460
Er du gal?,1448
Meg?,1445
Det er i orden.,1435
Hvor skal vi?,1430
Godt.,1426
God kveld.,1422
Bli her.,1418
Det går ikke.,1412
Sitt ned.,1411
Aner ikke.,1409
Stikk!,1397
Ta den.,1395
Stemmer.,1394
Når?,1389
Hør.,1385
Sikkert.,1382
Hva nå?,1377
Alle sammen.,1377
Det er ok.,1370
Jo da.,1365
La oss gå.,1347
Hvem da?,1344
Stol på meg.,1339
Tre.,1330
Skynd dere!,1327
Hører du meg?,1317
Fy faen.,1313
Ikke noe.,1307
Jeg visste det.,1301
La oss dra.,1291
Sier du det?,1281
Utmerket.,1279
Ingen årsak.,1273
Ta ham!,1271
Ikke rør deg.,1269
Gi meg den.,1263
Du også.,1262
Skyt!,1260
I like måte.,1256
Gud!,1254
Mottatt.,1253
Jeg bare...,1252
Det vet jeg.,1250
Kan jeg hjelpe deg?,1243
Gjør du?,1240
Flytt deg.,1240
Hva sa han?,1238
Hva er galt?,1237
Det var det.,1236
Jeg har det bra.,1236
Vent her.,1235
Det gjør jeg.,1228
Hvordan gikk det?,1228
Alt.,1228
Det er over.,1206
Vi drar.,1206
Ikke nå.,1205
"Å, herregud.",1204
Hør etter.,1203
Går det bra med deg?,1202
Hva foregår?,1192
Hvor mye?,1191
Hvor da?,1186
Det er det.,1185
Veldig bra.,1180
Au!,1178
"Å, faen.",1176
Hva er det med deg?,1170
Følg meg.,1169
Det er alt.,1163
Det vet du.,1154
Hva har du gjort?,1145
Oi!,1143
Det skal jeg.,1136
Frank!,1136
Bare hyggelig.,1134
Ikke noe problem.,1131
Fanken!,1124
Hvem var det?,1120
Drittsekk.,1114
Hva for noe?,1099
Naturligvis.,1097
Er det?,1094
Vent nå litt.,1093
Jeg kommer straks.,1093
Hysj!,1091
Hvem er dette?,1090
Hører du?,1090
Ikke skyt!,1088
Hva skal du gjøre?,1082
Tom.,1081
Så klart.,1081
Charlie.,1080
Opp!,1079
Vi må dra.,1071
La meg se.,1068
Det spiller ingen rolle.,1068
Hvem er han?,1063
Hvor er de?,1060
Fortell.,1059
Se der.,1053
"Ja, jeg vet det.",1051
Sett deg ned.,1049
Hyggelig å treffe deg.,1049
"Nei, takk.",1043
Det er ham.,1040
Gjerne.,1039
Hva er det som foregår?,1037
Det er umulig.,1034
Adjø.,1033
Ålreit.,1032
Du vet...,1027
Ja takk.,1026
Igjen.,1024
Se på det.,1023
Hvorfor gjorde du det?,1023
Hæ?,1019
Dra!,1009
Her er det.,1004
"Takk, sir.",998
Michael!,998
Er det alt?,995
Peter.,995
Herlig.,993
Litt.,989
Jeg vil ikke.,989
Ikke det?,988
Hva i...?,979
David.,979
Jeg liker det.,976
Avtale.,974
Umulig.,970
Neste.,969
Jeg er så lei for det.,968
Jeg mener...,963
Mine herrer.,953
Vær stille.,950
Ikke rør meg!,949
Hva er problemet?,947
"Ja, selvfølgelig.",941
Selvsagt ikke.,937
God jul.,937
Harry!,935
Så fint.,933
Stå stille!,933
Opp med deg.,931
Tilgi meg.,931
Jeg er klar.,929
Vi stikker.,925
"Ja, det er det.",924
Sikker?,923
