sentence,count
ن,414
جی ہاں.,266
چلو!,188
ٹھیک ہے.,184
نہیں!,152
کیا؟,112
کے,109
ہاں.,100
ارے!,79
آپ کا شکریہ.,65
جاؤ!,60
ٹھیک ہے؟,55
¹؟,53
ٹھیک.,48
اچھا.,48
بند کرو!,43
اوہ!,42
کیا ہے؟,39
شکریہ.,37
ہاں۔,37
چلو بھئی.,36
یہ ٹھیک ہے.,36
کیوں؟,36
رکو!,34
یہ کیا ہے؟,33
اقدام!,33
تم ٹھیک ہو؟,33
تم کیا کر رہے ہو؟,32
نمبر,31
ارے نہیں!,30
یہاں.,29
اوہ، میرے خدا.,28
¾ب µإ!,28
الوداع.,28
نہیں۔,28
ہا؟,28
بنجمن,28
میں معافی چاہتا ہوں.,27
جی سر.,27
بالکل ٹھیک.,27
ٹھیک ہے۔,26
مجھے افسوس ہے!,25
ہیلو.,24
ہے.,23
اٹھو!,23
مدد!,22
ٹھہرو!,22
میں پوشیدہ ہوں!,21
ہہ؟,21
فکر نہ کرو!,21
نیچے اترو!,21
آہ!,21
میں ٹھیک ہوں.,21
ٹومی!,21
ماں!,21
گڈ.,21
آپ تیار ہیں؟,21
تو؟,21
سٹیفین!,21
¾ئئ¼ؤ؟,20
ہ,20
کہاں؟,19
جی ہاں۔,19
ح,19
بالکل.,19
·خ¸¶؟,18
کیا ہو رہا ہے؟,18
تم سمجھتے ہو؟,18
آ جاؤ!,18
چلو چلتے ہیں.,18
اہ...,17
جیک!,17
اب.,17
میں آپ کو سمجھ گیا.,17
بلیک!,17
کوئی نہیں.,16
نہیں، سارجنٹ!,16
اد؟,16
ڈیسمنڈ.,16
میں...,15
کیا,15
اوہ میرے خدا!,15
معذرت.,15
توڑ دو!,15
آپ کیا جانتے ہیں؟,15
بالکل ٹھیک؟,15
قسم کی معمولی ہدایات!,15
چپ رہو!,15
تم پاگل ہو؟,15
تم کہاں تھے؟,15
آخر کیا ہے؟,15
ہم مشہور ہو ضروری ہے!,14
ناممکن کے لئے مقصد,14
کے چلو!,14
چلو، چلو!,14
ہم ریڈار بند رہ رہے ہیں!,14
اس کی کہانی میں سوراخ موت سٹار کے طور پر بڑے طور موجود ہیں نہیں!,14
اس بات کا یقین.,14
بنجمن اینجل!,14
مجھے سوچنے دو!,14
ہم ایک نام کی ضرورت ہے!,14
میں بنیامین ہوں,14
ہم ایک برانڈ بن ضروری ہے!,14
میں نے اس کے لئے ادا نہیں کر رہا ہوں,14
کیا ہوا؟,14
لعنت ہے!,14
کیا مٹی کے ساتھ کرنے کے لئے اس کے پاس ہے؟,14
کیوں نہیں؟,14
نے اپنی ماں کی طرح نہیں ہوں!,14
شپنگ کے بغیر!,14
اپنے آپ میں یقین,14
میری مدد کرو.,14
آپ کو میں یہاں رہتے تھے؟,14
برانڈ بہت اچھا ہے!,14
تم وہاں کیا کر رہے ہو؟,14
پرسکون ہو جاؤ!,13
کچھ بھی نہیں!,13
اسے ہٹاو!,13
مجھے پتہ نہیں ہے.,13
خاموش رہو!,13
حق.,12
ڈاکٹر!,12
صاف.,12
شکریہ۔,12
ھ),12
کوئی.,12
تم وہاں جاؤ!,12
رے.,12
بھاڑ میں جاؤ!,12
چار!,12
جی ہاں؟,11
جی ہائڈرا.,11
براہ مہربانی.,11
چلو چلو.,11
اسے باہر لے جاؤ!,11
سانس.,11
اور پھر کیا؟,11
جلدی کرو!,11
نہیں؟,11
واہ!,11
ہٹو!,11
ابھی!,11
معاف کیجئے گا.,11
واقعی؟,11
کیا مسئلہ ہے؟,10
چلے جاؤ!,10
اور...,10
ہم؟,10
ّ´ش,10
نہیں جناب.,10
¾ئ¾¾!,10
وہاں سے نکل جاؤ!,10
½؛,10
ؤ‎إ¸½؛ ¾ئئ¼؟,10
ؤع¸£؛خ½؛ ہا؟,10
ہاں؟,10
مجھے؟,10
میں کیا کروں؟,10
کتیا کا بیٹا.,10
ڈیوس,10
بیٹھ جاؤ.,10
کچھ کھانا پینا۔,10
ہم کہاں جا رہے ہیں؟,9
شاید,9
آپ کہاں جا رہے ہیں؟,9
ہم یہاں سے چلے جانا ہوگا!,9
تم؟,9
تم کیا چاہتی ہو؟,9
وہ کہاں ہے؟,9
چلتے ہیں!,9
تو...,9
میں جانتا ہوں.,9
µ؟,9
ہے؟,9
فوری طور پر!,9
ہم چلتے ہیں!,8
ہم وقت سے باہر چلا رہے ہیں!,8
منتقل کریں!,8
آپ کی منصوبہ بندی کیا ہے؟,8
میں وعدہ کرتا ہوں!,8
نہیں، سارج.,8
خوش!,8
ہیلو؟,8
نکل جاؤ!,8
کوئی بات نہیں.,8
تم سمجھ گئے!,8
میں یہاں ہوں.,8
یہ...,8
سب کچھ ٹھیک ہے؟,8
سب کچھ!,8
آپ خراپن لئے آپ کا شکریہ.,8
آج رات۔,8
میری طرف دیکھو.,8
تیار,8
¾ئ´د؟,8
ہ؟,8
کیا آپ کے لئے انتظار کر رہے ہیں؟,8
وہ یہاں ہیں!,8
تیار ہیں؟,8
اب کیا ہوگا؟,8
،¼­ ؟,8
کون؟,8
لوگوں چللا],8
کیا تم پاگل ہو؟,8
اور کچھ؟,8
تمہیں کیا ہوا؟,8
مجھ نہیں پتہ.,8
آگ!,8
مدد کرو!,8
کی جنگ میں جانے دو!,8
تیار ہو جاؤ!,8
میں چاہتا تھا اس کے جیسا بننا,7
میں نے جان بوجھ غلط سوالات کا جواب دیا.,7
کوئی آخری نام.,7
