,sentence,rankt,ranko
0,gracias,0,2
1,hola,1,5
2,vamos,2,3
3,bien,3,7
4,está bien,4,6
5,sí,5,0
6,lo siento,6,9
7,de acuerdo,7,13
8,por qué,8,10
9,si,9,8
10,muy bien,10,12
11,no lo sé,11,20
12,por favor,12,15
13,en serio,13,23
14,no,14,1
15,lo sé,15,27
16,claro,16,17
17,mierda,17,11
18,dios mío,18,16
19,espera,19,18
20,vale,20,54
21,estás bien,21,22
22,adiós,22,21
23,qué pasa,23,19
24,nada,24,25
25,yo,25,30
26,"sí, señor",26,26
27,oye,27,39
28,oh,28,85
29,por supuesto,29,48
30,no sé,30,24
31,"no, no",31,28
32,buenas noches,32,29
33,genial,33,73
34,cómo,34,37
35,adelante,35,32
36,de verdad,36,76
37,dios,37,46
38,papá,38,43
39,mira,39,34
40,ahora,40,53
41,mamá,41,61
42,qué,42,4
43,estoy bien,43,55
44,perdón,44,40
45,así es,45,38
46,cállate,46,33
47,eh,47,31
48,qué es eso,48,49
49,eso es,49,41
50,bueno,50,14
51,no puedo,51,63
52,ok,52,69
53,y,53,57
54,señor,54,66
55,buenos días,55,56
56,por qué no,56,67
57,qué es esto,57,72
58,qué estás haciendo,58,87
59,no te preocupes,59,74
60,vaya,60,88
61,quién,61,60
62,seguro,62,44
63,qué haces,63,35
64,ven aquí,64,75
65,muchas gracias,65,51
66,sabes,66,102
67,dónde está,67,58
68,aquí,68,70
69,"no, no, no",69,80
70,yo también,70,84
71,maldita sea,71,42
72,sabes qué,72,98
73,quién es,73,81
74,entendido,74,86
75,maldición,75,52
76,disculpe,76,77
77,vámonos,77,36
78,ven,78,64
79,basta,79,79
80,de veras,80,47
81,cuidado,81,50
82,vete,82,93
83,qué quieres decir,83,121
84,tú,84,108
85,eso es todo,85,89
86,que,86,71
87,toma,87,68
88,alto,88,78
89,qué pasó,89,82
90,un momento,90,59
91,venga,91,94
92,cómo estás,92,65
93,"no, gracias",93,95
94,dónde,94,91
95,cierto,95,154
96,rápido,96,109
97,pero,97,127
98,tienes razón,98,149
99,hey,99,126
100,no importa,100,124
101,qué es,101,103
102,correcto,102,119
103,"sí, sí",103,90
104,qué sucede,104,137
105,"sí, claro",105,96
106,siéntate,106,97
107,claro que sí,107,105
108,exacto,108,100
109,"ah, sí",109,83
110,escucha,110,107
111,fuera,111,101
112,entonces,112,136
113,para,113,151
114,de nada,114,115
115,"oh, dios mío",115,218
116,por aquí,116,123
117,entiendo,117,147
118,"oh, no",118,213
119,ves,119,133
120,ya veo,120,189
121,lo siento mucho,121,173
122,ah,122,62
123,disculpa,123,166
124,perfecto,124,131
125,esta bien,125,113
126,verdad,126,122
127,te quiero,127,135
128,qué está pasando,128,184
129,te amo,129,132
130,es verdad,130,134
131,carajo,131,45
132,"vamos, vamos",132,104
133,"oh, dios",133,234
134,lo tengo,134,181
135,listo,135,111
136,para qué,136,130
137,qué quieres,137,125
138,ahí está,138,110
139,lo haré,139,221
140,es cierto,140,164
141,soy yo,141,175
142,y tú,142,120
143,ya,143,92
144,estás loco,144,106
145,qué ocurre,145,156
146,no lo creo,146,216
147,no hay problema,147,143
148,silencio,148,159
149,detente,149,227
150,olvídalo,150,128
151,qué haces aquí,151,158
152,espere,152,140
153,buena suerte,153,172
154,de qué estás hablando,154,270
155,cielos,155,157
156,cariño,156,182
157,mira esto,157,163
158,"no, señor",158,167
159,claro que no,159,177
160,tranquilo,160,99
161,nunca,161,161
162,y qué,162,153
163,por dios,163,141
164,ve,164,235
165,"oh, sí",165,263
166,quién eres,166,202
167,salud,167,180
168,hazlo,168,174
169,escúchame,169,146
170,de qué hablas,170,139
171,qué te pasa,171,114
172,exactamente,172,205
173,joder,173,116
174,dónde estás,174,191
175,nos vemos,175,188
176,ya está,176,138
177,no pasa nada,177,168
178,yo no,178,243
179,adónde vas,179,112
180,mírame,180,169
181,excelente,181,260
182,"sí, lo sé",182,269
183,no me importa,183,208
184,cálmate,184,148
185,aquí está,185,196
186,cuándo,186,176
187,hijo de puta,187,117
188,tengo que irme,188,265
189,ayuda,189,277
190,esperen,190,228
191,se acabó,191,171
192,entiendes,192,144
193,qué ha pasado,193,290
194,corre,194,183
195,increíble,195,241
196,estás seguro,196,231
197,qué bien,197,152
198,cómo está,198,192
199,qué dices,199,150
200,hasta luego,200,145
201,no te muevas,201,194
202,levántate,202,142
203,qué tal,203,118
204,"gracias, señor",204,262
205,entra,205,250
206,lo entiendo,206,469
207,aquí tienes,207,285
208,muévanse,208,129
209,no lo entiendo,209,373
210,fuego,210,165
211,atrás,211,190
212,jesús,212,187
213,aquí vamos,213,274
214,ya lo sé,214,160
215,todo bien,215,193
216,perdona,216,291
217,jack,217,288
218,no entiendo,218,251
219,todo está bien,219,226
220,así que,220,484
221,es,221,304
222,muévete,222,206
223,no puede ser,223,252
224,dime,224,236
225,estupendo,225,217
226,padre,226,334
227,está muerto,227,210
228,lo es,228,439
229,tal vez,229,279
230,fantástico,230,230
231,lo lamento,231,238
232,me voy,232,233
233,amén,233,225
234,socorro,234,200
235,cómo lo sabes,235,258
236,suéltame,236,229
237,gracias a dios,237,391
238,qué estás haciendo aquí,238,628
239,tiene razón,239,307
240,demonios,240,201
241,ten cuidado,241,253
242,dos,242,186
243,buen trabajo,243,331
244,otra vez,244,245
245,john,245,278
246,lo prometo,246,458
247,lo sabía,247,352
248,cómo te llamas,248,170
249,diga,249,239
250,capitán,250,430
251,sam,251,199
252,idiota,252,311
253,qué te parece,253,178
254,"sí, señora",254,289
255,ayúdame,255,247
256,así,256,237
257,no lo hagas,257,292
258,diablos,258,162
259,lo ves,259,248
260,ya basta,260,219
261,señora,261,273
262,todo,262,240
263,no puedo creerlo,263,249
264,qué fue eso,264,305
265,ya voy,265,254
266,yo tampoco,266,267
267,y bien,267,306
268,eso,268,220
269,qué significa eso,269,297
270,bien hecho,270,393
271,a dónde vas,271,330
272,me gusta,272,364
273,cambio,273,281
274,no es cierto,274,215
275,tres,275,212
276,es él,276,257
277,arriba,277,264
278,disculpen,278,275
279,el qué,279,272
280,ahí,280,222
281,nadie,281,255
282,anda,282,185
283,a qué te refieres,283,444
284,abajo,284,209
285,estás bromeando,285,347
286,qué demonios,286,370
287,no es nada,287,295
288,felicidades,288,322
289,te gusta,289,211
290,cómo se llama,290,224
291,espera un minuto,291,356
292,ven conmigo,292,315
293,es increíble,293,259
294,felicitaciones,294,405
295,despierta,295,360
296,no es así,296,375
297,"no, está bien",297,380
298,creo que sí,298,293
299,estoy aquí,299,372
300,chicos,300,325
301,lo que sea,301,314
302,wow,302,718
303,por supuesto que no,303,705
304,doctor,304,751
305,policía,305,204
306,ahora mismo,306,203
307,"sí, por supuesto",307,554
308,buenas tardes,308,223
309,me encanta,309,324
310,oigan,310,397
311,todavía no,311,333
312,oiga,312,244
313,de qué,313,268
314,está todo bien,314,329
315,no se preocupe,315,256
316,de ninguna manera,316,415
317,espera un momento,317,350
318,auxilio,318,312
319,esto,319,313
320,qué vas a hacer,320,321
321,siéntese,321,284
322,qué está haciendo,322,365
323,lo hice,323,633
324,"sí, así es",324,421
325,"hola, cariño",325,434
326,"no, no, no, no",326,568
327,relájate,327,357
328,aún no,328,618
329,uno,329,242
330,tranquila,330,197
331,mira eso,331,294
332,bromeas,332,323
333,estás segura,333,506
334,déjame,334,300
335,puedo,335,524
336,no lo se,336,386
337,me tengo que ir,337,378
338,cuál es el problema,338,408
339,bravo,339,389
340,hecho,340,310
341,ay,341,155
342,gracias por venir,342,390
343,miren,343,351
344,hmm,344,811
345,está aquí,345,433
