sentence,count
Ya.,217
Petra ?,141
Kaoc'h !,74
Mat eo.,67
Gwir eo ?,64
Ket.,62
Digarez.,56
Mont a ra ?,48
Gast !,45
Trugarez.,41
Mat.,34
Serr da veg !,34
N'ouzon ket.,33
Perak ?,32
Deomp dezhi !,32
Petra 'maout oc'h ober ?,30
N'eo ket gwir.,30
Gwir ?,29
Dreist.,28
Ok.,28
Petra eo se ?,27
Netra.,25
War-raok !,25
Tan !,25
Nann.,25
Piv eo ?,23
Er goudor !,22
Ale !,22
Petra 'zo ?,20
Ha neuze ?,20
Kit.,19
Salud.,19
Demat.,19
An Team Istits.,18
Ya aotrou.,18
Deus.,18
Penaos 'ta ?,17
Mezeg !,16
Piv ?,16
Neuze ?,16
War-sav !,16
Ma Doue !,16
Mat ar jeu ?,15
Petra 'rez amañ ?,15
Petra 'c'hoarvez ?,15
Kae da sutal.,15
Paouez !,15
Dispar.,15
Buan !,14
Petra eo ?,14
N'ouzon dare.,14
Letanant.,14
Gast ar c'hast !,14
Kae kuit.,13
War-gil !,13
Goût 'ran.,13
Kudenn ebet.,12
Medisin !,12
Mat-tre.,12
Hast afo !,12
Sell.,12
Iskis eo.,11
"Ya, letanant.",11
Lezit ac'hanon !,11
Skarzh !,11
Skarzhit !,11
Sell ouzhin.,10
Mont a ra mat ?,10
Petra 'rez ?,10
Pelec'h 'mañ ?,10
Mamm !,10
Me ivez.,10
Kompren 'rez ?,10
Buanoc'h !,10
Echu eo.,10
Perak 'ta ?,10
Dal.,10
Deus 'ta.,9
Ma digarez.,9
Deomp de'i.,9
Petra 'lârez ?,9
"Ya, chef.",9
"Ya, aotrou.",9
Sur out ?,9
Na te ?,9
Peoc'h !,9
Geo.,9
BREUDEUR STOURM,9
A-du.,9
Petra zo c'hoarvezet ?,9
Mont a raio.,8
Peseurt anv 'teus ?,8
'Vel-just.,8
Deus amañ.,8
Piv oc'h ?,8
Gortoz.,8
Skarzh kuit.,8
Petra 'teus graet ?,8
Kuzhit !,7
Marv eo.,7
Petra zo ?,7
Kerzh !,7
Setu.,7
"Ya, kabiten.",7
Komprenet eo ?,7
Sikour !,7
Chañs vat.,7
"Ya, gwir eo.",7
Digarez ac'hanon.,7
Ret eo din mont.,7
Da belec'h ez ez ?,7
Lez ac'hanon !,7
Malarkey !,7
Marplij.,7
Putenn c'hast !,7
Sirius out ?,6
Petra 'zo c'hoarvezet ?,6
"Ya, dres.",6
Penaos ?,6
"Trugarez, kabiten.",6
Petra 'rit amañ ?,6
Piv out ?,6
Petra 'ri ?,6
Penaos eo ?,6
Serjant ?,6
"Ya, mont a ra.",6
Krakoù.,6
Marteze.,6
Evel-just.,6
Dok !,6
Gwell a se.,6
Pelec'h 'oas ?,6
Digarezit.,6
"Digarez, paotr.",6
Ken diwezhatoc'h.,6
Kenô.,6
Da veg !,6
D'ober petra ?,6
Mar plij.,6
En ho sav !,6
Oc'h ober goap 'maout ?,6
Na ra ket se.,6
N'eo ket grevus.,6
N'eo ket posubl.,6
N'eo ket se.,6
Chomit a-sav !,6
D'az soñj ?,5
Te ivez.,5
Bec'h dezhi !,5
Digorit an nor !,5
Digor an nor !,5
"Ya, koronal.",5
Blev !,5
Te ?,5
Te 'oar...,5
Dav din sevel.,5
Deuit.,5
"Trugarez, letanant.",5
Ur banne 'to ?,5
Ur gudenn 'zo ?,5
War ma lerc'h !,5
Dre amañ.,5
Cheñchet omp bet gant ar gorventenn.,5
Da vat.,5
Da belec'h 'maout o vont ?,5
Chom amañ.,5
Chom sioul.,5
Pellgomz din.,5
Hast buan !,5
Sirius on.,5
Fidamdoue !,5
Pegoulz ?,5
N'on ket.,5
Perconte.,5
Petra 'fell dit ?,5
Mersi.,5
Me 'ni eo.,5
Petra 'mañ oc'h ober ?,5
Mat-kaer.,5
Ma...,5
Loen lous !,5
Laouen.,5
Kurun.,5
Kit war-gil !,5
Kae da gac'hat !,5
Jezuz !,5
Jezus !,5
Jentil eo.,5
"Piv out, te ?",5
Prest ?,5
Istitloù brezhonek AN TEAM ISTITS,5
Red !,5
Ho !,5
Hañ ?,5
Sell 'ta piv !,5
Gra !,5
'Rez ket bil.,5
