word,count
ഒരു,25960
ഞാന്‍,22508
നീ,18600
ഞാൻ,14281
അത്,13930
എനിക്ക്,13463
ഈ,12821
ആ,10397
ഇത്,10062
നിങ്ങള്‍,7791
എന്റെ,7466
ഇവിടെ,7037
എന്‍റെ,6984
നിനക്ക്,6532
എന്നെ,6527
പക്ഷെ,6101
എന്താ,5693
നിങ്ങളുടെ,5630
തന്നെ,5228
പിന്നെ,5067
നിന്നെ,4756
എന്ത്,4477
അവര്‍,4375
നമുക്ക്,4345
നിന്‍റെ,4334
നിന്റെ,4238
എന്ന്,4190
വളരെ,4144
നല്ല,4044
നിങ്ങൾ,3905
പക്ഷേ,3828
നമ്മള്‍,3594
അതെ,3499
അവിടെ,3329
അവന്‍,3308
കൊണ്ട്,3274
ഇല്ല,3225
നമ്മുടെ,3128
എല്ലാം,3128
നിങ്ങള്‍ക്ക്,2875
ശരി,2808
ഇനി,2772
പോലെ,2771
ഞങ്ങള്‍,2741
ഒന്നും,2740
എന്താണ്,2681
നിങ്ങളെ,2668
കാര്യം,2594
ആണ്,2558
നിന്ന്,2471
അവനെ,2465
എല്ലാ,2409
കൂടെ,2398
വേണ്ടി,2333
ഇല്ല.,2323
പോയി,2289
ഒന്ന്,2288
അങ്ങനെ,2242
ഇപ്പോള്‍,2211
നിന്നും,2161
പറയുന്നത്,2123
അയാള്‍,2117
കാരണം,2112
അല്ല,2081
എന്തെങ്കിലും,2079
പറഞ്ഞു,2076
പറഞ്ഞത്,2074
അവരുടെ,2060
അവള്‍,1999
അവൻ,1988
എന്നോട്,1967
വലിയ,1961
അതെ.,1954
അദ്ദേഹം,1931
ഓ,1923
വാ,1898
അവർ,1881
വേണ്ട,1868
കുറച്ച്,1822
എവിടെ,1819
അവരെ,1803
നമ്മൾ,1787
ശരിക്കും,1740
ഹേയ്,1672
കൂടി,1671
അവളെ,1653
വേഗം,1628
എങ്ങനെ,1603
ഇന്ന്,1597
ജോലി,1591
ആണ്.,1587
ഏറ്റവും,1584
അവളുടെ,1566
ശരി.,1554
പോലും,1515
പേര്,1501
സമയം,1498
ഇപ്പൊ,1475
എത്ര,1474
നോക്ക്,1474
നന്ദി.,1469
നിങ്ങൾക്ക്,1460
കുറച്ചു,1433
നന്ദി,1427
ഞങ്ങളുടെ,1425
എന്നിട്ട്,1422
പറ്റി,1415
വരൂ,1412
ഉണ്ട്,1409
വരെ,1402
വീണ്ടും,1399
ഇങ്ങനെ,1386
മാത്രം,1379
അവൾ,1375
എല്ലാവരും,1373
ഒരിക്കലും,1373
ഉണ്ട്.,1367
ഞങ്ങൾ,1361
അല്ലേ,1358
തിരിച്ചു,1349
അതു,1325
ദിവസം,1325
നന്നായി,1311
ഹലോ,1286
എന്തു,1283
ചെയ്യുന്നത്,1255
രാത്രി,1254
ഒരുപാട്,1249
അതുകൊണ്ട്,1227
അപ്പോള്‍,1222
പണം,1220
പോ,1198
വേറെ,1191
എനിക്കു,1188
ഞാനും,1178
പുതിയ,1158
അല്ലെ,1157
രണ്ടു,1149
അവന്റെ,1143
തന്നെ.,1134
ചെയ്യാന്‍,1131
വഴി,1098
അവന്‍റെ,1092
രണ്ട്,1088
കൂടുതല്‍,1082
അല്ല.,1069
ഇപ്പോൾ,1066
അയാളുടെ,1063
കാണാന്‍,1063
ആരും,1063
അപ്പൊ,1054
ആണോ,1045
നാളെ,1037
ആദ്യം,1034
ശേഷം,1032
ഞാനൊരു,1029
വേണം.,1016
വേണം,1009
എനിക്കറിയാം,1009
ഇതാ,1008
വരൂ.,976
എന്നാല്‍,961
വാ.,953
അയാളെ,951
ചെയ്തു,947
എന്നാൽ,936
ചെറിയ,934
തോന്നുന്നു.,933
വേണ്ട.,932
അതൊരു,924
എപ്പോഴും,916
നിന്നോട്,915
അവര്‍ക്ക്,913
എന്തിനാ,910
അല്ലെങ്കില്‍,909
ദൈവം,906
മാത്രമേ,902
അമ്മ,893
അയാൾ,892
അതേ,885
ചില,878
ഇതാണ്,876
മുഴുവന്‍,876
വന്നു,874
അടുത്ത,872
എന്ന,870
നോക്കൂ,862
ദയവായി,852
പോകാം.,850
എന്തോ,846
നാം,845
കണ്ടു,845
ഇപ്പോഴും,845
ഇതൊരു,834
കുറിച്ച്,819
വെറുതെ,815
പ്രശ്നം,813
തോന്നുന്നു,813
കാര്യങ്ങള്‍,810
വരും.,804
പോകാം,802
നമ്മളെ,801
വെച്ച്,801
പോയി.,800
ജീവിതം,800
മതി.,799
പറ്റില്ല.,799
അവന്,795
ഞങ്ങളെ,793
സർ,790
പറയുന്നു,786
ഇതു,784
വെറും,782
സ്വയം,780
ഞങ്ങള്‍ക്ക്,774
വീട്ടില്‍,774
നോക്ക്.,773
ഉണ്ടോ,766
പോകുന്നത്,765
ദൈവമേ,764
എനിക്കൊരു,764
പെട്ടെന്ന്,757
ചെയ്തത്,754
സ്ഥലം,751
ആരാണ്,751
മി.,750
അറിയാം,747
മതി,747
ആരെങ്കിലും,746
പുറത്ത്,739
ഗുഡ്,736
പറയൂ,736
ഓഹ്,733
സത്യം,728
ചെയ്യാൻ,725
ആരാ,721
സ്വന്തം,721
അതിനു,718
ഒക്കെ,716
ചെയ്യും,706
ക്ഷമിക്കണം,705
കാണാൻ,701
കൈ,698
പറയാന്‍,695
ഭക്ഷണം,692
പറ,691
അത്ര,688
നാശം,680
വേണ്ടത്,679
ഉള്ള,671
സര്‍,666
അതിന്,661
കണ്ടോ,660
ഇങ്ങോട്ട്,660
ഓക്കേ,659
വരും,658
ആയിരുന്നു,658
പഴയ,657
എന്തായാലും,655
വന്നത്,650
പറഞ്ഞു.,648
മുമ്പ്,647
പറ്റില്ല,646
