word,count
ik,22775027
je,20978351
het,15854268
de,15391090
dat,13416411
is,12943572
een,11238513
niet,10848295
en,8335774
van,6597350
wat,6415298
we,6225443
in,5845108
ze,5495389
hij,5217994
te,5191284
zijn,5032883
op,4902225
maar,4774275
er,4680639
die,4208891
voor,4182672
met,4149763
heb,4072525
als,3819756
me,3587141
was,3248317
ben,3219467
om,2943420
dit,2935000
mijn,2842249
aan,2707615
naar,2603911
dan,2601856
weet,2548310
hier,2529147
jij,2507633
u,2447540
kan,2384942
geen,2333878
nog,2277187
hem,2210761
moet,2205469
heeft,2183881
wel,2174817
ja,2174730
wil,2173985
zo,2147160
hebben,2143206
goed,2031565
nee,1934435
haar,1869036
hoe,1836491
nu,1836460
waar,1815193
over,1680969
ook,1645431
doen,1637981
uit,1610627
ga,1599978
mij,1570482
bent,1566742
gaan,1555049
zou,1533924
of,1513534
bij,1470002
ons,1412655
jullie,1363585
daar,1354507
kom,1350568
al,1349334
iets,1322250
hebt,1317579
gaat,1309330
zal,1309090
had,1270659
meer,1270095
waarom,1257877
deze,1178112
't,1168622
laat,1109555
moeten,1098155
kunnen,1060187
jou,1049875
wie,1021464
m'n,1002798
dus,999726
doe,999078
alles,995168
denk,988622
door,947522
echt,947127
alleen,934339
zien,887122
weg,880849
toch,870216
eens,856875
'n,850283
man,822370
nooit,810586
laten,803261
misschien,796884
terug,796432
oké,779700
mee,772690
nou,769338
zei,767170
iemand,750101
niets,749373
komt,725556
even,701843
onze,694428
veel,683043
nodig,677402
mensen,675343
toen,672954
weten,671958
komen,671072
tot,648694
worden,645714
gewoon,643070
leven,635107
tijd,634182
weer,628551
zeggen,622546
twee,612022
tegen,605112
hou,602809
net,601788
zeg,591585
wij,582929
zit,581907
maken,578283
kijk,574491
wordt,573366
uw,571801
dood,565053
omdat,559285
heel,541609
z'n,540633
gedaan,538529
mag,535132
altijd,531131
af,515889
zeker,509144
jouw,505198
allemaal,490697
hun,483085
me.,481832
jaar,480567
wacht,477728
vader,477015
huis,476558
doet,476499
dag,475973
zie,470770
dacht,466516
kunt,465568
wilde,462281
geef,459543
zij,447805
zoals,446161
keer,444832
vrouw,438980
andere,436823
één,436171
dank,436159
anders,430815
willen,427939
bedankt,417515
wilt,415003
iedereen,412211
erg,411542
zich,411381
waren,410195
spijt,408999
niemand,408671
geld,403147
werk,402241
praten,400572
beter,398405
vinden,396622
staat,396230
niks,392699
gezien,390556
zitten,388976
binnen,388180
zullen,384784
moeder,384690
kon,372667
werd,371007
helpen,367767
vind,363294
genoeg,356858
wist,356466
na,355980
Oh,355949
klaar,353964
neem,351942
sorry,350747
vast,349543
hé,347610
god,346201
maak,345802
uur,344186
hele,341699
elkaar,341609
alle,339138
leuk,331469
drie,330681
lang,326975
toe,325411
natuurlijk,325378
alsjeblieft,324260
zegt,322259
ging,320418
maakt,317554
dingen,317385
graag,315108
bedoel,313337
eerste,311942
Hallo,311940
zonder,310268
krijgen,309350
ziet,308634
blijf,308624
achter,307485
steeds,307317
houden,306528
kwam,303545
vertellen,299127
idee,298074
deed,297988
blijven,296810
geven,294893
naam,294397
mooi,293295
onder,292244
luister,291538
helemaal,289383
geweest,287949
meneer,287081
kijken,286082
grote,282816
snel,281831
ooit,281671
goede,279912
zag,277599
kun,275939
vriend,275570
moest,275295
lijkt,269991
gek,269491
vragen,268363
gebeurd,268099
wanneer,265681
paar,265028
kinderen,263550
nieuwe,263424
want,262424
zorgen,261796
'm,260723
laatste,260369
vraag,258336
Mr,258187
beetje,257657
auto,257414
bang,252494
enige,251573
geweldig,249133
hadden,244056
hoor,243769
jongen,241646
staan,241130
zelfs,240591
zelf,240517
nemen,240128
wereld,238234
eten,237028
samen,235179
geleden,233115
zo'n,231728
heen,231688
gevonden,231266
beste,229556
vandaag,229536
jongens,229305
verdomme,225614
ken,224576
zoon,224042
denken,223834
hen,223391
denkt,222904
vertel,220623
thuis,220060
gezegd,219926
eerst,218453
hand,215904
buiten,215114
eigen,214911
halen,213681
geloof,213668
mannen,212401
gelijk,211725
probleem,210883
meisje,210260
elke,208260
O,207468
morgen,207168
hoop,206569
vermoord,206173
familie,205985
alsof,203575
zouden,201576
bijna,200569
horen,199835
rustig,197993
stop,197202
politie,196014
vrienden,195719
orde,194376
kleine,194294
werken,192494
precies,192160
begrijp,191921
gebeurt,191568
eigenlijk,191278
manier,191024
zat,189847
houdt,189392
geeft,188933
kant,188018
hoofd,187485
krijg,187460
kind,187142
hè,185968
open,184933
wachten,183614
verder,183327
wou,182110
daarom,180855
volgens,178859
dagen,178107
gemaakt,177688
zoek,177586
soms,177083
werkt,176681
vroeg,175561
krijgt,175395
voel,174275
probeer,173419
ding,172893
volgende,172462
kans,172312
pak,172208
gehad,171783
vijf,170378
vanavond,169395
Mr.,168837
bel,168303
zoeken,168235
gehoord,168048
zet,167520
stad,166881
minuten,166104
moment,165361
vond,165174
blij,164139
oude,163859
ie,163540
plaats,162778
eruit,162413
haal,162409
pijn,160856
verteld,160048
hulp,159991
zaak,159121
plan,159074
hoeveel,158475
jezelf,158449
tussen,158438
brengen,157701
agent,157338
broer,157145
heet,156968
u.,156932
pas,156160
vindt,156094
geloven,155752
help,155340
slecht,155313
prima,155261
betekent,151766
ogen,151162
vier,151151
spreken,149898
kamer,149379
ligt,148645
ergens,148429
welke,148079
blijft,147849
doden,147200
gebruiken,146633
word,145623
school,145222
soort,144552
voordat,144312
klopt,143945
handen,143096
proberen,143095
deur,143049
juist,142879
vrij,141591
praat,140521
zodat,139653
dokter,139423
problemen,138813
later,138755
dochter,138137
kent,138035
plek,137910
water,137792
breng,136786
mis,136124
boven,135925
beginnen,135732
gaf,135380
stoppen,135357
land,135280
eerder,134980
's,134752
echte,134491
groot,134121
schiet,133868
week,133625
pakken,132833
hoeft,132422
vermoorden,130136
spelen,130084
bellen,129913
zoveel,128500
lekker,128344
veilig,128208
schat,127695
moeilijk,127250
gebeuren,126884
bloed,126817
snap,126783
sinds,126623
wees,126534
sta,126272
verhaal,125302
zorg,125029
hetzelfde,124793
lopen,124252
dollar,123605
redden,123534
druk,123431
vergeten,123395
mooie,123057
voorbij,122746
mevrouw,122158
ervan,121839
Hoi,121767
vrouwen,120596
zult,120489
tien,120428
waarheid,120350
lk,119807
mogelijk,119796
hart,119603
nacht,118426
nieuws,118398
waarschijnlijk,118333
bezig,118231
best,117582
papa,117399
zes,117307
bed,116326
zaken,116184
liet,116152
stel,115828
reden,115816
gelukkig,115774
eraan,115532
wakker,115007
los,114946
gekomen,114854
klinkt,114662
hoorde,114659
maanden,114628
kreeg,113844
baas,113443
begin,112881
sterven,112322
terwijl,112275
neer,112236
klein,112104
baby,111878
schuld,111604
duidelijk,111130
begrepen,110586
gezicht,110406
alstublieft,110363
Jack,110057
voelt,110028
avond,109870
vooruit,109249
leren,108995
ander,108907
zoiets,108584
fijn,108335
fout,108120
the,107911
jaren,107811
nummer,107413
liggen,107384
vallen,106971
telefoon,106903
meteen,106398
mogen,105906
rond,105451
beneden,105434
dr.,105322
dat.,105211
slapen,105111
klootzak,105103
eerlijk,104974
John,104909
per,104224
mama,104170
vriendin,104017
liefde,103919
oorlog,103587
dicht,103088
rest,102678
deel,102627
lichaam,102581
kop,102515
erop,102323
hoort,102014
ouders,101611
mam,101498
buurt,101370
oud,101097
dezelfde,101042
houd,100991
belangrijk,100338
vergeet,99977
zeer,99668
team,99628
wapen,98480
welkom,98316
drinken,98211
moord,97895
langs,97539
vertrouwen,97458
vaak,97335
inderdaad,97249
kennen,95987
Eén,95793
ver,95486
baan,95137
stond,95081
mond,94745
zetten,94415
mezelf,94331
rust,93930
geval,93579
geluk,93547
anderen,93041
overal,92305
tijdens,91599
gebruikt,91495
vent,91379
vanaf,90979
gegeven,90916
vol,90852
ermee,90810
recht,90791
vertelde,90657
vandaan,90484
neemt,90075
weken,89916
elk,89818
hield,89716
maakte,89458
kapitein,89168
betalen,88863
tweede,88857
stuk,88262
woord,88204
president,88108
aardig,88068
liever,87206
hard,87169
daarna,86844
veranderen,86814
haat,86505
Mrs,86118
New,86005
koning,85527
kantoor,85374
stil,85125
miljoen,84513
nam,84153
verloren,84124
nergens,83751
lieverd,83685
kwaad,83645
ontmoeten,83480
straks,83382
heren,83341
erin,83295
nieuw,83148
noemen,83129
ontmoet,83056
heer,82976
schip,82958
zichzelf,82921
Sam,82403
antwoord,82357
ervoor,82028
boek,81882
vechten,81824
licht,81772
allebei,81731
bewijs,81606
kwijt,81498
beschermen,81442
zus,81390
al.,81220
onderzoek,81032
zin,80798
voorzichtig,80773
kerel,80594
informatie,80423
pap,79940
Jezus,79754
minder,79418
geworden,79312
hey,79300
rijden,78737
valt,78654
ok,78517
pa,78174
mens,78006
film,77557
hond,77515
probeerde,77049
slechte,77021
enkel,76948
gebeld,76729
ten,76652
stap,76217
prachtig,76193
einde,75764
grappig,75600
wapens,75389
gisteren,75327
normaal,75132
persoon,74971
loopt,74923
gevoel,74865
werden,74538
gesproken,74492
gegaan,74478
foto,74393
degene,74267
eindelijk,74193
Miss,74185
oke,74140
voelen,73960
contact,73855
nogal,73756
gevangenis,73245
gang,72845
ziekenhuis,72692
verwacht,72621
schieten,72392
konden,72390
meen,72344
Pardon,72102
meisjes,72031
aarde,72015
controle,71940
herinner,71705
vreemd,71628
leeft,71463
boos,71454
plezier,71311
Hoezo,71256
verkeerd,70941
begint,70826
erbij,70662
punt,70649
zomaar,70317
beloof,70184
spel,70142
kopen,70103
moordenaar,69930
leg,69664
trouwen,69637
naartoe,69583
koffie,69508
grond,69380
daarmee,69299
ziek,69177
stuur,68925
acht,68696
waard,68247
toekomst,67917
winnen,67904
enkele,67696
hierheen,67693
leger,67669
gebruik,67613
zeven,67599
opnieuw,67483
perfect,67362
serieus,67347
dames,67287
stellen,67280
gevraagd,67262
juiste,67132
lucht,67077
schatje,66931
gebeurde,66737
begon,66645
kracht,66551
begrijpen,66446
bedoelt,65787
veranderd,65730
getrouwd,65342
verliezen,65284
verlaten,65047
advocaat,64921
Frank,64850
slim,64816
langer,64791
woorden,64531
brengt,63930
gedood,63755
gekregen,63674
trots,63660
probeert,63589
val,63471
trek,63410
geheim,63401
nadat,63108
York,62978
behalve,62864
kwamen,62740
vroeger,62704
volgen,62543
Charlie,62365
nietwaar,62193
he,61989
loop,61717
vraagt,61606
idioot,61572
omhoog,61561
gingen,61377
meest,61287
spullen,61191
gestolen,61031
half,60998
makkelijk,60974
helpt,60916
eet,60787
goeie,60715
onzin,60712
slechts,60665
sturen,60665
ter,60552
gered,60499
ongeveer,60286
gevaar,60258
zodra,60195
vuur,60029
weinig,59899
Michael,59871
via,59650
eentje,59613
tenminste,59558
oom,59458
afgelopen,59419
hoef,59385
sommige,59282
foto's,59237
seks,59171
lief,59116
ongeluk,59028
lange,58865
wilden,58841
meid,58766
bekend,58731
vertrekken,58725
men,58607
genomen,58411
dienst,58376
grootste,58358
succes,58310
erger,58296
slaap,58158
lijken,57984
sterk,57877
werkte,57718
pistool,57476
ieder,57422
lezen,57217
zwarte,57125
FBI,57057
noem,57013
voelde,56987
luisteren,56975
maand,56740
Jawel,56710
begrijpt,56403
droom,56301
vreselijk,56269
hemel,56244
feest,56167
fantastisch,56112
ruimte,56093
afspraak,55999
ziens,55945
mocht,55839
absoluut,55829
let,55809
totdat,55802
erover,55755
Joe,55636
bewijzen,55552
sir.,55521
meter,55409
bank,55386
doel,55379
Peter,55292
begonnen,55287
muziek,55192
ene,55130
raar,55117
verkeerde,55061
tenzij,54913
vliegtuig,54859
zolang,54765
George,54750
wonen,54621
geest,54600
shit,54571
David,54555
gevaarlijk,54491
naast,54337
verdomde,54283
vanwege,54252
vorige,54192
kijkt,54174
iedere,53852
belde,53748
gaten,53721
Mike,53675
straat,53661
schuldig,53443
leek,53432
relatie,53375
slaan,53295
trouwens,53284
geprobeerd,52691
bedrijf,52570
vertrouw,52436
lieve,52271
Goedemorgen,52156
beide,52154
rug,52140
gisteravond,52126
hotel,52060
viel,52004
verkopen,51766
meeste,51631
woont,51561
blijkbaar,51485
lukt,51480
regels,51446
hand.,51403
seconden,51356
slachtoffer,51182
namen,51158
zover,51145
jammer,51134
welk,51119
herinneren,51101
bestaat,50938
prijs,50848
geleerd,50826
moesten,50800
schelen,50717
vooral,50659
stierf,50623
verliefd,50620
lag,50579
boot,50514
onderweg,50483
Excuseer,50451
geweldige,50420
lijst,50342
vertaling,50333
stomme,50308
gedacht,50262
zak,50254
dragen,50181
voorstellen,50180
t.,49929
macht,49880
James,49792
stom,49791
keuze,49779
generaal,49765
spreek,49689
gebouw,49618
vertelt,49502
drugs,49423
missen,49302
tv,49210
raad,49019
kleren,49015
regel,48936
gebracht,48907
betaald,48877
trekken,48735
agenten,48643
vliegen,48547
raken,48500
groep,48495
geraakt,48485
vanuit,48334
gestuurd,48230
stem,48223
gesprek,48152
jong,48107
schrijven,48105
geboren,47988
gedachten,47984
situatie,47978
gezin,47941
deden,47912
daarvoor,47892
Harry,47863
deal,47834
best.,47813
duurt,47759
gemist,47715
delen,47585
dom,47558
jonge,47339
vlucht,47247
kende,47192
volg,47140
honger,47074
reis,46877
wegwezen,46667
red,46636
tafel,46568
verleden,46559
gelooft,46349
huwelijk,46337
oog,46215
zwaar,46209
teken,46174
gefeliciteerd,46091
sneller,45830
direct,45773
bericht,45757
derde,45743
sleutel,45735
partner,45672
vonden,45486
leuke,45425
band,45416
meester,45398
speelt,45390
koud,45314
hel,45310
moe,45220
gast,45209
onmogelijk,45145
zweer,45025
leiden,44655
regelen,44473
dansen,44422
bureau,44347
missie,44345
eer,44335
negen,44315
lachen,44152
kolonel,44098
arm,44087
zoekt,44047
kaart,44015
zeiden,43970
tuurlijk,43797
dronken,43525
grapje,43457
rennen,43456
bracht,43441
liefje,43433
kapot,43315
raak,43282
Alex,43143
uh,43055
wet,42862
rij,42759
dame,42556
luitenant,42457
gewerkt,42456
arme,42455
gebroken,42392
respect,42362
steek,42320
lul,42307
witte,42234
muur,42202
dode,42199
bevel,42159
show,42086
brand,42000
moeite,41918
mijne,41898
rot,41846
waarvoor,41844
diep,41829
Henry,41820
leggen,41698
keek,41617
helaas,41522
lijn,41424
liep,41346
Amerika,41297
kerk,41290
Paul,41215
verdwenen,41137
maat,41096
angst,41092
lijk,41071
rijk,40848
persoonlijk,40838
dr,40817
aanval,40815
uiteindelijk,40786
eind,40718
gebied,40659
kost,40634
sluit,40600
plannen,40540
ziel,40500
Amerikaanse,40428
positie,40388
sir,40331
bal,40257
beiden,40207
zul,40193
Jimmy,40127
volk,40117
tijdje,40008
extra,40003
ruzie,39998
aantal,39853
bleef,39792
zon,39744
vijand,39734
rechter,39703
Tony,39681
lastig,39668
liegen,39658
operatie,39643
oma,39537
hoeven,39509
betrokken,39365
koningin,39349
allen,39306
Mary,39279
cool,39261
bereiken,39239
rode,39206
komaan,39114
wagen,39050
kiezen,38978
midden,38896
sla,38688
ring,38658
club,38619
planeet,38617
Tom,38514
keus,38409
zee,38311
kont,38311
computer,38305
hopelijk,38298
beloofd,38286
dromen,38228
hoog,38177
bewegen,38154
sluiten,38075
stelen,38033
paard,38022
meiden,38020
gewond,38003
aandacht,37998
gelezen,37941
kwalijk,37887
m.,37862
gezet,37837
schoenen,37804
uitleggen,37789
vrede,37778
daarvan,37701
bom,37653
interessant,37640
meestal,37575
leeg,37551
spreekt,37484
wedstrijd,37456
links,37424
held,37390
gewonnen,37376
brief,37349
zuster,37344
ma,37198
Sarah,37186
les,37144
helft,37143
geheime,37128
gelukt,37118
rechercheur,37113
adres,37076
waarop,36963
volledig,36921
camera,36882
feestje,36778
sprak,36735
systeem,36723
zwanger,36569
sheriff,36501
slag,36424
gevecht,36399
overleven,36365
levend,36295
bar,36230
gooi,36206
groter,36177
geschiedenis,36008
bekijken,36008
verdienen,36007
warm,35962
Danny,35956
speel,35953
zulke,35942
gekocht,35915
bezoek,35829
geschreven,35743
meegenomen,35694
wisten,35676
Bob,35660
laatst,35634
boord,35629
broek,35604
haast,35591
neus,35495
getuige,35385
verdient,35373
zelfmoord,35311
lot,35303
winkel,35292
trein,35258
a,35232
gevallen,35200
sergeant,35187
dichtbij,35172
Nick,35122
hangt,35108
weggaan,35018
raam,34973
draai,34944
betere,34896
gehaald,34872
bestaan,34848
liegt,34805
kort,34755
heerlijk,34736
speciale,34675
professor,34674
zaten,34657
bus,34601
spul,34586
gehouden,34558
vernietigen,34533
vanmorgen,34527
drink,34440
enig,34423
achteruit,34343
ontdekt,34285
Jim,34274
verkocht,34254
verdachte,34172
erachter,34167
donker,34101
mes,34079
lift,34056
park,34046
richting,33986
been,33893
Bill,33893
vreemde,33890
nek,33884
boeken,33865
code,33843
verrassing,33834
slaat,33771
Ray,33714
monster,33697
excuses,33657
meenemen,33631
spoor,33554
hoogte,33536
ongelooflijk,33532
belt,33501
onderzoeken,33500
raakt,33497
opschieten,33459
verschillende,33363
Ach,33360
bereid,33347
eiland,33331
verlies,33325
bezorgd,33294
beslissing,33290
kalm,33266
benen,33217
alweer,33152
waarvan,33122
teveel,33085
ontslagen,33072
gepakt,33070
verklaring,33052
belachelijk,33025
eraf,33023
adem,33005
tas,32843
gesloten,32834
godsnaam,32811
gestopt,32792
wijn,32744
speciaal,32711
verandert,32693
dachten,32687
veiligheid,32683
zagen,32648
verschil,32615
tante,32488
boodschap,32470
Jake,32400
ophouden,32351
rechts,32340
vannacht,32303
la,32286
beurt,32228
draagt,32226
dieren,32224
weekend,32200
voeten,32197
Will,32190
slachtoffers,32140
goud,32061
ontsnappen,32037
Jane,31818
gevangen,31787
eikel,31782
rekening,31732
knap,31728
neergeschoten,31684
