word,count
మీరు,5352
నేను,4410
ఒక,2186
ఉంది,1423
మరియు,1419
ఈ,1196
మేము,1182
లేదు,1168
నా,1109
మీ,1080
నాకు,1029
ఆ,966
అతను,910
ఇది,904
అవును,868
యొక్క,767
ఇక్కడ,693
కాదు,646
అన్ని,643
అది,601
ఏమి,597
కానీ,524
కోసం,517
ఆమె,510
ఉన్నాయి,504
చాలా,500
లో,490
వారు,477
తెలుసు,471
ఇప్పుడు,466
గురించి,444
వచ్చింది,437
సంఖ్య,417
కుడి,391
గొన్న,385
కలిగి,375
ఉంటుంది,375
మంచి,354
హే,350
ఏమిటి,340
న,336
ఓహ్,323
సరే,321
చూడండి,318
ఎలా,312
ఉంటాయి,312
నుండి,301
తిరిగి,299
ఎందుకు,298
కేవలం,298
వద్ద,293
అక్కడ,293
బాగా,271
అని,264
కొన్ని,261
అవసరం,259
వెళ్ళి,254
లేదా,248
ఉంటే,247
మా,239
ధన్యవాదాలు,238
వంటి,229
తో,218
ఏ,216
చేస్తున్నాను,213
వ్యక్తి,210
ఏదో,209
రెండు,206
డౌన్,205
తన,203
పొందుటకు,203
కమ్,202
అప్,201
మీకు,201
పొందండి,201
సర్,200
మనిషి,192
పని,183
నన్ను,180
మాకు,180
వాటిని,177
కాల్,173
సమయం,169
సో,168
ఎప్పుడూ,166
నిజంగా,166
ఎవరు,161
అతనికి,154
బయటకు,153
అతనిని,151
డబ్బు,151
ఖచ్చితంగా,151
ఏం,150
ఉండాలి,148
దయచేసి,146
వేచి,145
ద్వారా,144
ప్రతి,144
ఎందుకంటే,143
సహాయం,142
కొద్దిగా,141
పేరు,141
కూడా,139
చేసిన,138
ఎక్కడ,137
రోజు,136
ఓకే,136
విషయం,133
అనుకుంటున్నారా,133
ఫక్,133
ఆఫ్,132
ముందు,129
నం,129
దేవుని,128
చెప్పారు,127
తెలియదు,127
అర్థం,127
రాత్రి,126
ఏదైనా,124
కాబట్టి,123
అబ్బాయిలు,121
మార్గం,120
తెలుసా,119
ఇష్టం,118
మాత్రమే,116
అప్పుడు,116
వస్తాయి,114
ఎవరైనా,113
వదిలి,111
అనుకుంటున్నాను,111
వెళ్ళండి,110
ఫకింగ్,110
చేయవచ్చు,104
లెట్,103
అంటే,102
బర్ట్,101
ప్రజలు,101
జాక్,100
మిస్టర్,100
ఎక్కువ,98
మళ్ళీ,98
తెలిసిన,97
చేస్తుంది,96
పడుతుంది,95
చేశారు,93
కు,93
తప్పు,92
చెప్పండి,92
చూడాలి,91
పెద్ద,89
అతని,89
లుక్,88
జస్ట్,87
కంటే,87
ఏమీ,87
ఎల్లప్పుడూ,85
చుట్టూ,83
గాడిద,83
అయ్యో,83
దీన్ని,83
కాలేదు,82
చంపడానికి,82
ఉన్నప్పుడు,80
నాశనం,80
గుడ్,79
మొదటి,79
చిన్న,79
బహుశా,78
పాత,78
పూర్తి,77
తర్వాత,77
తండ్రి,77
అనుకున్నాను,76
ఇతర,76
కావలసిన,76
శిశువు,76
వచ్చి,76
మూడు,76
గో,76
వరకు,76
మరింత,75
కారు,75
జీవితం,75
ప్రేమ,74
జరిగింది,73
మొత్తం,73
జరిగినది,72
ఇప్పటికీ,72
అధ్యక్షుడు,71
విచారిస్తున్నాను,71
గొప్ప,70
సమస్య,70
ఉండవచ్చు,70
అయితే,70
వన్నా,69
వినండి,69
పొందడానికి,69
ఇవ్వాలని,69
పిల్లలు,68
దూరంగా,68
అదే,67
సైన్,67
వీలు,67
స్నేహితుడు,66
ఆలోచన,66
హెల్,66
చేయండి,66
ఫోన్,65
కుమారుడు,64
హలో,64
నిజమైన,64
దాని,64
ఒకటి,63
ఐ,63
ఒంటి,63
చాలు,63
మహిళ,63
అమ్మాయి,63
