,sentence,rankt,ranko
0,ja,0,0
1,nein,1,1
2,was,2,3
3,danke,3,2
4,hallo,4,4
5,okay,5,8
6,gut,6,5
7,ok,7,20
8,hey,8,16
9,bitte,9,6
10,wirklich,10,25
11,oh,11,9
12,warum,12,15
13,los,13,12
14,tut mir leid,14,37
15,ich weiß,15,36
16,ich,16,19
17,komm schon,17,82
18,scheiße,18,18
19,hier,19,11
20,was ist los,20,28
21,was ist das,21,26
22,natürlich,22,21
23,hi,23,63
24,ich weiß nicht,24,30
25,genau,25,34
26,komm,26,7
27,und,27,22
28,nichts,28,31
29,es tut mir leid,29,65
30,alles klar,30,76
31,klar,31,32
32,wieso,32,23
33,in ordnung,33,106
34,warte,34,60
35,vielen dank,35,55
36,"ja, sir",36,49
37,verdammt,37,71
38,entschuldigung,38,27
39,keine ahnung,39,48
40,ich weiß es nicht,40,90
41,was ist passiert,41,95
42,"nein, nein",42,61
43,verstanden,43,85
44,was ist,44,40
45,"oh, mein gott",45,201
46,ah,46,13
47,hilfe,47,41
48,sicher,48,92
49,also,49,46
50,wie bitte,50,58
51,richtig,51,86
52,wow,52,120
53,gute nacht,53,35
54,doch,54,29
55,komm her,55,87
56,hm,56,10
57,ach ja,57,83
58,hör auf,58,79
59,warum nicht,59,66
60,schon gut,60,96
61,wer,61,53
62,alles in ordnung,62,110
63,gehen wir,63,124
64,halt,64,33
65,oh gott,65,114
66,he,66,45
67,was denn,67,54
68,ich liebe dich,68,98
69,kommen sie,69,57
70,moment,70,50
71,so,71,17
72,guten tag,72,24
73,was soll das,73,102
74,wie,74,68
75,na los,75,121
76,guten morgen,76,47
77,du,77,73
78,schnell,78,64
79,stimmt,79,105
80,sehr gut,80,94
81,aber,81,77
82,keine sorge,82,131
83,ich auch,83,104
84,jetzt,84,103
85,mein gott,85,116
86,oh mein gott,86,404
87,na gut,87,127
88,verzeihung,88,93
89,vielleicht,89,128
90,ich verstehe,90,132
91,"nein, danke",91,111
92,"ja, ja",92,51
93,wo,93,78
94,musik,94,14
95,"oh, gott",95,190
96,sir,96,133
97,sofort,97,118
98,ich kann nicht,98,151
99,nicht,99,139
100,"nein, nein, nein",100,230
101,was meinst du,101,168
102,oh nein,102,165
103,tschüss,103,81
104,wer ist das,104,122
105,toll,105,153
106,weißt du was,106,249
107,da,107,44
108,"oh, ja",108,256
109,kein problem,109,160
110,wo ist er,110,184
111,schön,111,101
112,auf wiedersehen,112,59
113,dad,113,633
114,siehst du,114,164
115,mama,115,43
116,wer sind sie,116,147
117,"oh, nein",117,308
118,wie geht's,118,180
119,oh ja,119,192
120,nun,120,241
121,warten sie,121,172
122,guten abend,122,52
123,sie,123,125
124,entschuldige,124,167
125,also gut,125,198
126,bis dann,126,239
127,noch nicht,127,186
128,aha,128,39
129,du hast recht,129,295
130,wiedersehen,130,84
131,hör zu,131,251
132,mom,132,1372
133,morgen,133,72
134,stopp,134,108
135,das stimmt,135,236
136,wer ist da,136,214
137,was machst du,137,205
138,verstehe,138,138
139,mist,139,175
140,ganz ruhig,140,176
141,niemals,141,166
142,raus,142,113
143,vorsicht,143,107
144,was ist denn,144,80
