word,count
bir,18871843
bu,11089085
ne,8038915
ve,7777673
için,5497900
mi,5365789
o,5031216
ben,4938477
çok,4859600
de,4799248
ama,4676678
var,4394959
Evet,4365306
mı,4001517
değil,3896630
şey,3608341
da,3554562
iyi,3486450
hayır,3445086
daha,3320669
sen,3296782
kadar,2698823
bana,2663586
yok,2497079
onu,2479480
seni,2461644
bunu,2449960
beni,2449907
gibi,2431283
tamam,2352307
her,2266398
benim,2235862
sana,2066404
ki,1956799
neden,1869198
zaman,1811548
senin,1809630
sadece,1803474
burada,1782528
nasıl,1658390
olduğunu,1627674
hiç,1575843
şimdi,1547091
sonra,1546928
en,1482487
ya,1453376
öyle,1443166
mu,1425616
şu,1379644
misin,1338936
hadi,1322930
önce,1292668
biraz,1272712
musun,1220688
güzel,1216545
oldu,1142601
böyle,1141752
ona,1118535
lütfen,1097637
işte,1092240
yani,1068929
bile,1064775
artık,1026021
bak,1023577
geri,1020896
onun,1015622
istiyorum,987514
peki,967873
eğer,957601
çünkü,955671
kim,952891
iki,949742
biliyorum,939788
gerçekten,930468
başka,923201
tek,906308
olarak,900683
belki,889847
doğru,886104
Bay,878814
büyük,860828
buraya,850667
biri,838378
olan,824907
olur,809963
Hey,799337
adam,795772
olacak,786934
hiçbir,775923
efendim,770127
demek,754344
yardım,753606
biz,740713
ile,733533
nerede,724131
sanırım,723523
tanrım,721296
tüm,707283
orada,705963
bilmiyorum,703549
gün,695369
ederim,692791
fazla,692544
bunun,692478
teşekkürler,684038
şeyi,684022
yeni,682262
et,675150
son,674040
Merhaba,658231
kötü,656385
gece,651594
şeyler,649832
biliyor,642255
sorun,625137
tam,621766
bütün,613349
harika,609971
hemen,609292
olsun,606478
gerek,602706
ol,602276
ilk,600879
siz,594584
onları,576658
üzgünüm,571811
size,571783
gel,564956
diye,562985
küçük,562803
iş,562068
teşekkür,542198
devam,541999
izin,541713
bayan,540375
tabii,537771
olabilir,537249
ver,532528
aynı,532232
kendi,530097
yüzden,529760
bize,524835
haydi,521602
bizi,521464
hakkında,519592
kız,511873
oluyor,503450
sizi,492216
buna,488554
dur,486329
içinde,483243
git,477230
kimse,473927
geldi,465455
bizim,464548
asla,464095
yoksa,458156
göre,454238
mısın,454200
seninle,453276
vardı,452103
değilim,449734
baba,449081
önemli,446708
benimle,445263
tekrar,444654
söyle,444413
özür,443989
anne,442915
mü,442377
dostum,441967
Selam,440888
yine,437097
hala,435769
al,427879
lanet,425443
üç,425053
Oh,424100
bugün,422557
aslında,421475
uzun,420897
herkes,420744
bakalım,418651
dakika,418271
Pekala,417373
geliyor,417097
olmaz,417097
olmak,417062
para,417015
bence,416749
ister,416463
şekilde,416033
gerçek,415398
biliyorsun,414293
birlikte,410668
istiyorsun,409849
onlar,408462
şunu,407100
işe,406056
birkaç,404954
zaten,404693
lazım,400655
saat,400497
onunla,398731
yapıyorsun,398443
neler,398070
emin,395448
pek,395086
gidelim,393859
bırak,390645
yer,389171
hep,388947
miyim,388930
buradan,387770
çocuk,384077
yıl,383170
bekle,381443
yere,381050
sizin,380539
söyledi,379176
nedir,378625
eve,377758
nereye,372708
dilerim,370078
burası,369958
hepsi,364237
istemiyorum,360878
karşı,359412
hazır,358653
etmek,356823
olduğu,355202
an,351720
olmalı,351316
kaç,346984
insanlar,345604
işi,343910
çocuklar,343398
az,341840
ilgili,339431
kendini,338970
söz,337577
ediyorum,334429
eski,330449
dinle,328294
anda,325768
gerekiyor,325179
benden,323849
tane,321840
bunlar,316166
fakat,315463
insan,313672
kesinlikle,311211
zor,311066
istiyor,309907
yapmak,308888
kişi,308795
kadın,306837
görmek,304942
diğer,304008
misiniz,303628
sağ,297212
seviyorum,295646
kabul,294469
bundan,293356
niye,293294
onlara,292878
Aman,292367
içeri,291531
elbette,290330
kez,288518
yarın,287315
yapma,284381
edin,282620
hem,280839
falan,280135
senden,280120
oraya,279471
hoş,278005
gidip,275475
yerde,275087
zorunda,275046
yanlış,274507
kontrol,272733
ediyor,271273
özel,270660
tatlım,269042
gereken,268448
doktor,268231
dedim,267514
geç,266962
nereden,263079
hafta,261613
hâlâ,261145
birini,260118
yemek,260047
ha,259213
bakın,258033
dışarı,255090
mutlu,254904
eminim,253235
ondan,252372
gördüm,251679
polis,251220
ihtiyacım,249734
bazı,249577
dikkat,249309
sakin,248224
gitti,248157
yalnız,248003
etti,246285
çabuk,245188
musunuz,244789
beri,243900
ah,242746
merak,241977
yalan,240717
gidiyor,239148
ayrıca,237508
beş,236408
değildi,236119
babam,234804
haber,234643
görüşürüz,233587
Pekâlâ,230053
erkek,226823
dün,225558
kahretsin,221268
umarım,220045
nefret,219433
etme,219279
sanki,219025
yerine,218156
öldü,217710
karar,217089
veya,216684
değilsin,216092
gördün,215881
aptal,215360
yeter,214707
sabah,214672
kes,213991
yaptım,213989
sence,213849
olmuş,213731
geçen,212746
Tanrı,212403
ateş,212059
sonunda,210953
istediğim,209929
kendine,209918
akşam,209778
yap,208846
su,208154
işin,207504
farklı,206642
dört,205667
birşey,205575
iyiyim,205412
bunları,204686
tarafından,204625
olması,203788
kendimi,203754
boyunca,203403
üzerinde,203354
adı,203125
olursa,202973
ettim,202854
fark,202514
olamaz,202379
olduğumu,201826
