word,count
you,1554360
I,1314023
the,1222008
to,943625
's,833934
a,809608
it,704627
that,546943
n't,507808
and,499504
of,498513
do,462630
is,410023
in,403055
me,373114
what,357610
we,344924
this,310103
on,282726
for,277333
have,271000
he,270358
your,264332
my,263494
was,252529
be,236833
not,234308
are,232623
no,228979
know,225803
'm,219428
're,215668
with,200702
all,196479
just,193514
here,176290
get,170706
there,166008
like,160225
so,158879
they,157987
out,151513
go,148431
right,148073
did,146697
up,146576
can,144896
got,141514
but,141506
about,140746
him,138926
one,130361
she,130288
at,129867
'll,124010
now,118622
if,115445
come,115305
her,113066
think,108333
want,107434
how,106682
yeah,105815
see,98387
will,96567
good,95485
've,93859
Oh,93635
from,90836
would,90610
na,88875
his,88860
as,88818
gon,88372
well,88032
who,87626
going,87041
back,85541
let,82573
okay,80863
time,79634
them,79131
us,78833
an,78009
why,77140
could,76772
were,74126
been,73458
when,72997
ca,70535
where,69769
look,69461
take,69268
had,68954
need,66434
some,66401
man,65403
or,64375
tell,64004
our,63115
down,62375
yes,62329
say,62016
really,61047
something,58954
way,58493
\cHFFFFFF}{\3cH2F2F2F}{\4cH000000}I,57652
has,56560
more,56146
make,55962
then,55806
never,55172
'd,54600
by,52903
little,52642
does,50515
\cHFFFFFF}{\3cH000000}{\4cH000000,50484
should,50399
over,50118
\cHFFFFFF}{\3cH000000}{\4cH000000}I,49664
off,49553
hey,49464
too,48133
very,47311
Pro,46506
sorry,46451
people,46450
love,45800
\fnCronos,45776
only,44782
doing,44177
mean,43568
give,42853
said,42700
thing,42466
two,42373
am,41884
any,41566
much,39975
thank,39658
because,39641
please,38852
these,38394
sure,38076
into,37332
help,37098
find,36967
even,36449
new,35002
life,34977
god,34712
day,34447
anything,34429
still,33910
first,33455
their,33343
than,32973
night,32890
call,32840
thought,32608
work,32192
again,32181
before,31926
nothing,31845
put,31266
\cHFFFFFF}{\3cH2F2F2F}{\4cH000000,31141
stop,30816
other,30728
away,30674
home,30367
must,30334
ever,30231
talk,30099
those,30027
last,29963
great,29819
\cHFFFFFF}{\3cH2F2F2F}{\4cH000000}And,29746
\cHFFFFFF}{\3cH2F2F2F}{\4cH000000}You,29335
keep,29190
better,28682
wait,28627
told,28372
name,28091
fucking,28039
around,27887
long,27752
always,27493
things,27229
