word,count
আমি,70989
না,64190
তুমি,39862
আমার,38736
কি,31540
এটা,27291
আর,26008
তোমার,24251
আছে,22002
এই,19690
সে,19563
আমরা,19161
করে,17194
হবে,16235
জন্য,16136
আমাদের,15767
করতে,15383
একটা,15204
আমাকে,14495
ঠিক,14349
তো,13954
আপনি,13843
যে,13268
তার,12900
থেকে,12562
কিছু,12386
সাথে,12209
কিন্তু,12157
এখানে,10740
এখন,10647
কথা,10641
তোমাকে,10634
মনে,10382
কোন,10379
কী,9063
যদি,8733
হয়,8387
এবং,8330
নিয়ে,8321
আপনার,8156
হয়ে,7830
ছিল,7786
তারা,7770
নেই,7754
তাকে,7701
তাহলে,7599
অনেক,7524
কেন,7398
করো,6969
করা,6967
হ্যাঁ,6866
সব,6723
তাই,6676
এর,6589
এক,6384
হচ্ছে,6159
যাও,6131
ও,6116
কাজ,6096
কে,6026
হয়েছে,6021
কাছে,5872
শুধু,5786
স্যার,5666
ভালো,5549
তাদের,5546
দাও,5513
যা,5360
একটি,5329
যেতে,5209
জানি,5178
একজন,5166
ভাল,5156
দিয়ে,5151
খুব,4922
কোথায়,4914
যাবে,4818
করবে,4762
চাই,4643
পারে,4620
শেষ,4612
বাবা,4536
করার,4521
ধন্যবাদ,4459
কেউ,4457
যখন,4443
সময়,4411
বলতে,4391
করি,4349
তুই,4313
গেছে,4261
ওকে,4157
মত,4143
হতে,4135
সেটা,4123
চলে,4106
ওহ,4029
নয়,4016
একটু,3937
পারি,3847
হ্যা,3828
সবাই,3768
দেখতে,3745
আগে,3741
দেখা,3709
করছি,3652
বের,3593
কর,3579
বলে,3550
ঐ,3494
তিনি,3425
আবার,3410
দিতে,3376
নাম,3356
নাকি,3356
যায়,3325
ওর,3305
পারবে,3293
কিভাবে,3281
এ,3253
তোমরা,3248
মা,3166
মধ্যে,3150
ফিরে,3105
তা,3081
সাহায্য,2993
আচ্ছা,2979
দরকার,2976
আপনাকে,2974
চলো,2956
দিকে,2954
মানুষ,2949
সেই,2943
করেছে,2925
তোর,2910
মানে,2900
ওটা,2897
দিন,2874
শুরু,2861
তোমাদের,2856
আসলে,2791
দুঃখিত,2788
কিন্ত,2774
করছে,2771
বন্ধ,2711
বিশ্বাস,2695
বলছি,2692
করেছি,2642
নিজের,2638
বড়,2634
এমন,2614
বেশি,2559
কারণ,2548
বছর,2533
করবো,2524
অবশ্যই,2515
কোনো,2471
উপর,2455
এসব,2440
হেই,2420
যাচ্ছে,2412
দেখো,2407
হল,2387
মতো,2383
টাকা,2381
চেষ্টা,2380
এটাই,2363
ছিলো,2358
কিছুই,2355
তারপর,2353
আসো,2351
যাচ্ছি,2345
আছি,2316
জানো,2292
আজ,2286
ধরে,2274
বলো,2271
বুঝতে,2266
খারাপ,2254
কখনো,2225
মারা,2213
নি,2209
কেমন,2185
চাও,2168
পছন্দ,2154
দেখে,2127
হয়,2123
সেখানে,2100
নাও,2092
প্লিজ,2083
এখনো,2071
পর,2061
থাকে,2056
ভাই,2055
সমস্যা,2054
নতুন,2016
সুন্দর,2006
পর্যন্ত,2005
ভুল,2004
তখন,1997
আরে,1969
পরে,1962
হলো,1955
ওখানে,1944
ভয়,1927
যাই,1922
থাকতে,1916
ওরা,1913
করব,1908
ওই,1881
অন্য,1878
লোক,1855
ব্যাপারে,1851
নিতে,1844
আরো,1838
ছেড়ে,1837
লাগবে,1815
খুঁজে,1815
থাকবে,1805
হাত,1800
জীবন,1768
বল,1756
বন্ধু,1742
ছেলে,1741
করুন,1740
এসো,1739
এত,1739
ফোন,1736
যেন,1730
সত্যি,1712
চিন্তা,1692
এটি,1685
পারবো,1681
জিনিস,1677
সামনে,1671
যেটা,1645
সম্পর্কে,1620
খুবই,1596
অপেক্ষা,1594
ব্যাপার,1572
এসেছে,1570
ছিলাম,1569
উচিত,1550
পারো,1549
করবেন,1546
হ্যালো,1544
হলে,1540
নিচে,1539
বা,1535
সবকিছু,1522
থাকো,1520
এখান,1519
প্রথম,1517
মেয়ে,1516
নিশ্চিত,1492
আসবে,1491
দুই,1490
হও,1484
এসে,1478
জলদি,1475
কত,1467
জানতে,1466
ওদের,1449
দেখ,1436
আসছে,1427
মেরে,1426
সবচেয়ে,1425
এরকম,1423
নাই,1422
হয়তো,1421
করছ,1416
লাগছে,1415
হাতে,1413
ছাড়া,1403
বেশ,1400
তৈরি,1381
বাইরে,1368
এটার,1353
গুলি,1349
একদম,1340
আসতে,1337
পারেন,1337
এসেছি,1330
সত্যিই,1327
চল,1326
পড়ে,1325
পুরো,1324
দিয়েছে,1319
যাক,1316
বলা,1300
ছোট,1298
জন,1296
আমিও,1293
আশা,1283
চায়,1278
এগুলো,1268
পেয়েছি,1263
মজা,1252
যান,1250
তোকে,1250
গিয়ে,1247
এবার,1241
সবসময়,1240
হোক,1218
যাবো,1214
যেখানে,1213
বলেছে,1212
মিনিট,1212
জানে,1209
বসে,1200
উপরে,1192
ফেলে,1191
দয়া,1190
মাথা,1188
মানুষের,1183
বাড়ি,1176
জায়গা,1176
কাউকে,1175
পুলিশ,1170
পারব,1167
দেখি,1164
তাড়াতাড়ি,1162
যারা,1161
শুনতে,1160
আসে,1158
নিজেকে,1156
আরও,1154
থামো,1154
মি,1150
ই,1149
কীভাবে,1136
গাড়ি,1126
করলে,1122
এটাকে,1117
মাত্র,1116
মাঝে,1114
আসছি,1113
করছো,1111
তবে,1108
বাচ্চা,1104
টা,1103
ভুলে,1100
আপনাদের,1099
চুপ,1099
অথবা,1095
রাতে,1092
মিস,1089
দিচ্ছি,1085
খুন,1081
যাওয়া,1080
উচিৎ,1079
হিসেবে,1067
প্রয়োজন,1063
অবস্থা,1061
আছো,1057
ব্যবহার,1057
হয়েছিল,1053
দাঁড়াও,1053
এখনও,1051
সবার,1047
সবাইকে,1044
করেন,1043
এভাবে,1043
যুদ্ধ,1043
পাবে,1042
বেঁচে,1036
যার,1032
কারন,1031
উনি,1030
সঙ্গে,1028
একা,1028
যাওয়ার,1026
পেতে,1023
দেয়,1021
চেয়ে,1019
যাব,1018
আয়,1017
পারছি,1014
দেখেছি,1012
আপনারা,1011
পাগল,1010
দিবে,1008
দূরে,1007
লাগে,1005
ভিতরে,1003
দ্রুত,1000
শান্ত,998
পাওয়া,998
প্রতি,993
খবর,989
বলেছি,986
একবার,980
আগেই,980
নই,979
শুভ,979
খুশি,978
আসল,975
পার,971
কাজে,971
একই,969
সুযোগ,960
রাখো,958
তাঁর,956
জানেন,952
বলছে,951
বাবার,948
চোখ,943
বলবে,942
গেল,939
দেবে,939
দে,936
রেখে,936
করেছ,935
পথ,935
আসলেই,931
হওয়ার,930
এখানেই,930
বিয়ে,929
মিঃ,928
যথেষ্ট,923
৷,922
প্রস্তুত,921
যাতে,917
গিয়েছে,916
জ্যাক,914
নিশ্চয়ই,913
সম্ভব,911
হয়নি,906
কেনো,899
ভেতরে,898
দেখছি,896
দরজা,895
আছেন,895
প্রশ্ন,895
আহ,894
জানিনা,894
কিনা,893
চান,892
রাখতে,887
ভাবে,884
তিন,882
কোথাও,881
খাবার,879
জায়গায়,879
এদিকে,877
বলি,874
হাই,872
এমনকি,870
দেয়া,869
হুম,868
উত্তর,866
চমৎকার,863
১,861
রক্ষা,861
রে,852
আমায়,851
আমাদেরকে,850
করছেন,848
গেলে,843
দেওয়া,841
ব্যাপারটা,840
বলার,839
করেছিলাম,839
নাম্বার,839
ভেবেছিলাম,838
কেবল,833
ক্যাপ্টেন,830
সোনা,825
কারো,822
এতো,819
বস,815
করেছেন,814
নষ্ট,811
প্রায়,810
ক্ষমা,810
পানি,809
রাস্তা,804
একসাথে,803
সহজ,802
বলেছিলাম,800
শুধুমাত্র,797
আছ,796
রয়েছে,794
রাজা,793
গেলো,792
দিয়েছি,791
দেখুন,785
বাকি,784
কঠিন,783
কাছ,780
একে,776
বলুন,773
২,772
শব্দ,770
হা,770
সম্ভবত,768
মুখ,766
আমিই,766
সত্য,765
মন,765
হত্যা,763
পিছনে,763
থাকার,762
জীবনের,761
তুমিই,758
খোদা,755
ধরো,755
চুরি,751
কল,750
থাক,747
আঘাত,743
ধ্বংস,743
কষ্ট,741
মিথ্যা,736
এখনই,733
বেশী,730
কম,725
সেটাই,725
জানতাম,722
একমাত্র,721
শোন,719
আসুন,718
দেবো,714
কার,714
কখনোই,714
গেছি,714
যেমন,713
পাচ্ছি,713
করেছো,711
থাকা,709
জান,708
হাজার,708
তোমায়,703
বাদ,702
আসার,700
সকল,691
খেতে,688
ঈশ্বর,685
খেলা,685
সরে,682
কখনও,678
বলবো,677
শক্তি,675
সিদ্ধান্ত,673
পেয়ে,673
বললে,672
পা,671
হ্যারি,671
পেছনে,670
জিজ্ঞেস,669
রাখা,669
নিরাপদ,668
দিব,668
কিসের,668
হওয়া,667
এতে,666
করলাম,665
কাজের,665
স্বাগতম,665
অস্ত্র,662
১০,660
থাকলে,657
খুজে,655
ইচ্ছা,645
দাড়াও,645
ছবি,645
থেকেই,644
দেরি,644
পরিষ্কার,643
আসা,640
নামে,639
৩,638
আরেকটা,637
শালা,637
বাসায়,636
৫,635
ছিলে,635
কাল,634
সঠিক,634
পৃথিবীর,633
জানা,629
তাইনা,629
বার,629
তাদেরকে,628
বিদায়,627
পরিবার,626
পারবেন,625
জন্যে,623
করেছিল,622
ঘরে,620
কারণে,620
চাচ্ছি,619
আস্তে,617
খুলে,617
মৃত্যুর,615
নিজে,613
হারিয়ে,612
মহান,611
রক্ত,611
আজকে,608
কখন,604
নিজেই,602
দেই,602
বিশেষ,600
খালি,596
ধরনের,595
মাফ,594
বাড়িতে,593
আগের,590
একদিন,589
ফিরিয়ে,589
গল্প,586
দারুণ,581
ডাক্তার,581
চেক,581
প্রথমে,581
দ্বারা,580
বছরের,580
দল,578
হে,577
মাথায়,577
ছিলেন,577
বলছ,576
মিস্টার,573
গত,571
দেব,569
মায়ের,568
মারতে,567
খেয়ে,565
আলাদা,564
ধরতে,562
শুনেছি,562
সকাল,561
ক্ষমতা,559
বাজে,558
পাই,556
উপায়,555
যাচ্ছ,552
বিষয়,551
পাশে,549
ওপর,549
ভালোই,548
ছোট্ট,548
স্ত্রী,547
মুক্ত,547
স্বপ্ন,546
গান,542
ধীরে,542
গুরুত্বপূর্ণ,537
অদ্ভুত,537
সাহস,535
তথ্য,534
করিনি,533
লড়াই,533
তুমিও,533
শোনো,532
বলব,532
যদিও,529
বলেন,528
কেটে,527
জনাব,525
জন্যই,524
পথে,524
হয়েছে,523
উঠে,520
অংশ,520
শুনে,520
চালু,519
লাভ,519
শক্তিশালী,519
প্রমাণ,517
পায়,516
অনুভব,515
পান,513
মৃত,512
তাতে,511
নিজেদের,511
