sentence,count
Áno.,143800
Nie.,138031
Dobre.,85931
Hej.,58655
Čo?,56581
Ďakujem.,43647
Ahoj.,35691
Prečo?,26879
Poďme.,24459
Prosím.,21419
Neviem.,21090
Čože?,20882
Naozaj?,20541
Jasné.,18936
Prepáč.,18233
No tak.,18077
Prepáčte.,17901
Čo sa deje?,15648
Haló?,15387
V poriadku.,14194
Vďaka.,14148
Si v poriadku?,13154
Vážne?,12485
Samozrejme.,12333
Ja...,12040
Oh.,11457
Poď.,11242
Počkaj.,10645
Čo je to?,10319
Nič.,10230
Čo sa stalo?,10101
Fajn.,10048
Ja viem.,10026
"Nie, nie.",9821
Čo je?,9774
OK.,9765
Bože.,9547
Do riti!,9094
Ok.,8682
Okej.,8624
"Áno, pane.",8545
Prestaň!,8402
Čo to robíš?,8194
Správne.,8191
Kurva!,8167
Viem.,8137
Super.,7601
Takže...,7198
Rýchlo!,7159
Rozumiem.,7067
To je v poriadku.,7057
Presne tak.,6952
Mami!,6879
Poď sem.,6796
Iste.,6592
"Nie, nie, nie.",6440
Pane.,6171
Pozri.,6094
No...,5992
Prečo nie?,5930
Zdravím.,5923
Ano.,5857
Choď!,5737
Ako?,5701
Tu.,5691
Ja neviem.,5679
Kde je?,5655
Skvelé.,5606
Ty?,5490
Kto?,5400
Čo to je?,5359
A?,5293
Nemôžem.,5239
Presne.,5230
Výborne.,5221
Sakra!,5215
Vieš čo?,5088
Počkajte.,5064
Ideme.,4880
Hmm.,4854
Kto je to?,4851
Ako sa máš?,4841
Je mi to ľúto.,4830
Teraz!,4824
Čau.,4814
Možno.,4714
Aha.,4713
Dobrú noc.,4654
To je všetko.,4588
Čo tu robíš?,4571
Ale...,4468
To je ono.,4407
Vidíš?,4338
Pomoc!,4270
Počkať.,4256
Yeah.,4220
Máš pravdu.,4205
Chápem.,4191
Dobrý deň.,4119
Kde?,4095
Oci!,4084
Čo robíš?,4043
Tak.,4040
O čom to hovoríš?,4009
Okay.,3950
Dobré ráno.,3927
Čo tým myslíš?,3854
Kam ideš?,3838
Otec!,3757
To je pravda.,3757
Wow.,3575
Pohyb!,3562
Neboj sa.,3513
Páni.,3479
Mama!,3474
Ja tiež.,3427
Vypadni!,3335
Pozor!,3333
Musím ísť.,3324
Tak dobre.,3283
Skutočne?,3269
Ste v poriadku?,3257
Milujem ťa.,3256
"Dobre, dobre.",3251
Ticho!,3248
Preboha.,3233
Hneď!,3232
Jo.,3195
Nikdy.,3179
Stoj!,3143
Drž hubu!,3140
Mám to.,3137
Tu máš.,3127
Mrzí ma to.,3123
Bež!,3067
Čo to bolo?,2996
Rozumieš?,2994
Poďte.,2978
Kde si?,2975
Určite.,2955
Sľubujem.,2952
Kto si?,2897
Maj sa.,2866
To som ja.,2839
Prestaňte!,2833
Je to pravda?,2824
Ah!,2821
Počúvaj.,2821
Som v poriadku.,2797
Och.,2790
Nech sa páči.,2736
V pohode.,2703
Kto ste?,2635
Veľa šťastia.,2628
Fakt?,2609
Tak poď.,2586
Je to v poriadku.,2585
To je...,2546
"Áno, áno.",2532
Ježiši.,2511
A ty?,2503
Pozrite.,2492
Kedy?,2488
Do toho.,2478
O čo ide?,2445
Tam.,2441
Bože môj.,2396
Vydrž.,2396
Tadiaľto.,2380
Čo to znamená?,2369
Doktor!,2366
Čo chceš?,2357
Nerob to.,2336
Hm?,2311
Dovidenia.,2309
Ďakujem vám.,2284
"Hej, hej.",2259
Sam!,2258
Ešte nie.,2208
Čo to robíte?,2203
Gratulujem.,2188
Sklapni.,2185
Si si istý?,2182
Jasne.,2181
Počúvaj ma.,2179
Vstávaj!,2167
Je v poriadku?,2167
Choďte.,2161
Ľúbim ťa.,2150
Som v pohode.,2146
Panebože.,2144
"Oh, nie.",2143
Doriti.,2141
Dobrá práca.,2138
Poďme na to.,2134
Ospravedlňujem sa.,2129
Huh?,2122
Ocko!,2121
Nuž...,2120
To nie je pravda.,2116
Na zdravie.,2110
Hey.,2101
Sadni si.,2100
Opatrne.,2093
Ale no tak.,2067
Mm-hmm.,2043
Pokračuj.,2036
Ako sa máte?,2022
Ako sa voláš?,2002
"Nie, ďakujem.",2000
Ver mi.,1997
Úžasné.,1965
Ale nie.,1950
Tak fajn.,1948
Pozri sa na mňa.,1934
"Oh, áno.",1929
To je jedno.,1928
Je to tak?,1925
Nehýb sa.,1925
Ja len...,1918
To nie je možné.,1911
Vieš?,1909
John.,1894
Dobre teda.,1893
Ach!,1888
Zbohom.,1883
Viete čo?,1877
Pardon.,1869
"Nie, pane.",1869
Ha!,1862
Nerozumiem.,1856
Je mŕtvy.,1854
A čo ty?,1845
Ďakujeme.,1844
Amen.,1843
Hotovo.,1832
Au!,1830
To je dobre.,1830
To je dobré.,1828
To je on.,1823
Ahojte.,1809
Ale áno.,1807
Počuješ ma?,1800
Kapitán.,1798
To je skvelé.,1795
Musíme ísť.,1777
Upokoj sa.,1761
Teší ma.,1756
No a?,1755
Čo myslíš?,1755
Aah!,1752
Pomôžte mi!,1747
Stojte!,1747
Dobrý večer.,1747
Všetko.,1744
Ideme na to.,1740
Do čerta!,1737
To nie.,1737
Kto to je?,1736
Pripravený?,1734
Jack!,1733
Čo to má znamenať?,1733
Všetko v poriadku?,1729
Pomóc!,1715
Uh...,1711
Ani nie.,1705
Kto je tam?,1692
Idem.,1685
Počúvajte.,1677
Je tu.,1661
"Oh, môj bože.",1655
Neuveriteľné.,1651
V žiadnom prípade.,1651
Som.,1648
Zlatko.,1644
Paráda.,1641
Počkaj chvíľu.,1630
Som tu.,1623
Veľmi dobre.,1614
Dosť!,1610
Toto.,1605
Pomôž mi.,1599
Zabudni na to.,1591
Vidíte?,1591
Všetko je v poriadku.,1589
Ospravedlňte ma.,1576
Kľud.,1574
Koľko?,1573
Netuším.,1571
Má pravdu.,1571
Do pekla!,1570
Stop!,1569
Tu je.,1565
Chápeš?,1559
Urob to.,1554
"Áno, samozrejme.",1549
Nikto.,1548
Myslím to vážne.,1543
A čo?,1541
Však?,1531
Súhlasím.,1517
Prisahám.,1515
Čo je toto?,1509
Polícia!,1509
Kam?,1504
Mmm.,1502
Čo tu robíte?,1498
Michael.,1498
Na čo?,1493
Daj mi to.,1490
Pravda.,1489
Je.,1488
"Samozrejme, že nie.",1486
Um...,1478
To nič.,1475
Môžem?,1473
Harry!,1470
Nemôžem tomu uveriť.,1466
Myslíš?,1465
Čo to...,1463
Len...,1458
Je mi ľúto.,1447
Si v pohode?,1446
"Oh, môj Bože.",1445
Aj ja.,1445
Mám ťa.,1444
Whoa!,1443
Už idem.,1439
Rozumiete?,1438
Moment.,1431
Je to...,1429
Ako to?,1429
Ako to vieš?,1428
Poď so mnou.,1426
Koho?,1421
Ja nie.,1419
Díky.,1415
Je koniec.,1412
Charlie.,1409
Mm.,1403
Žartuješ?,1403
Je všetko v poriadku?,1402
Ako sa cítiš?,1394
"Nie, nie, nie, nie.",1392
Ako to myslíš?,1391
Tam je.,1391
Hneď som späť.,1389
"Nie, nie je.",1388
Pokračujte.,1385
Robíš si srandu?,1383
Ukľudni sa.,1382
Ježiš!,1377
Kto to bol?,1373
To stačí.,1373
Je preč.,1370
Pozri sa.,1369
"Oh, Bože.",1369
Pusti ma!,1368
Čo chcete?,1364
No dobre.,1358
Pustite ma!,1357
Von!,1356
O čom?,1353
Vy?,1352
Dobrý.,1351
Hovor.,1342
Bežte!,1340
Čo budeme robiť?,1338
Ďakujem ti.,1325
Áno pane.,1323
Zbláznil si sa?,1319
To je úžasné.,1317
Si si istá?,1313
Kde si bol?,1312
Čo mám robiť?,1310
Môj Bože.,1306
Buď ticho.,1304
"Myslím, že áno.",1304
Majte sa.,1296
Na tom nezáleží.,1295
Ďakujem veľmi pekne.,1294
Choď preč!,1275
Budeš v poriadku.,1270
Vitajte.,1266
Do prdele!,1264
To áno.,1263
Peter.,1256
Čo teraz?,1256
To je v pohode.,1247
Tri.,1245
No ták.,1244
Vráť sa!,1239
Ako sa volá?,1238
Ideš?,1232
Bude v poriadku.,1226
Nie je.,1224
Uvidíme sa.,1218
Ustúpte!,1218
Ešte niečo?,1214
Prosím ťa.,1213
Nechaj ma!,1205
Tak čo?,1197
Uvidíme sa neskôr.,1194
Nebojte sa.,1191
Žiadny problém.,1189
Je to dobré.,1188
Vôbec nie.,1186
"Áno, viem.",1184
Vypadnite!,1183
To neviem.,1175
Vieš ty čo?,1169
Dík.,1167
Zlato.,1163
A je to.,1162
Odchádzam.,1155
Tom!,1148
Mám ho.,1145
Ako to ide?,1144
"Áno, madam.",1143
Páľ!,1143
Všetko bude v poriadku.,1141
Viem to.,1138
To je super.,1138
"Nie, vďaka.",1135
Čo tým myslíte?,1135
"Oh, bože.",1135
Koniec.,1123
On...,1119
Všetci.,1114
Zaujímavé.,1111
Dva.,1111
Teda...,1110
Tu som.,1107
Ooh!,1106
Madam.,1105
Sadnite si.,1105
"Hej, hej, hej.",1104
Čo sa to deje?,1103
Uvidíme.,1103
Myslím...,1103
Pekne.,1098
Tu je to.,1096
My?,1092
Na.,1092
Čo je to s tebou?,1089
Kam ideme?,1088
Tak poďme.,1088
Čo to má byť?,1086
Pojeb sa!,1081
Kriste!,1079
Konečne.,1077
To...,1074
Utekaj!,1067
Za čo?,1065
Nehýbte sa!,1063
Nevadí.,1062
Ježiši Kriste.,1061
Takto.,1058
Ben.,1056
Mike.,1054
Dean.,1052
Pozrime sa.,1049
Perfektné.,1043
"Poďme, poďme.",1041
Pekné.,1033
A potom?,1029
Pomaly.,1028
"Prepáčte, pane.",1027
Kde sú?,1025
Alex.,1018
Sem.,1017
Jake!,1015
Mám.,1011
K zemi!,1007
Dobré.,1006
Pozrite sa.,1003
Posaď sa.,993
Prestaň s tým.,989
O čom to hovoríte?,987
Poďte ďalej.,984
Isteže.,980
To je šialené.,978
Pripravená?,978
Vedel som to.,977
Ani ja.,976
Ani náhodou.,975
To myslíš vážne?,974
Poď ďalej.,973
Čo do pekla?,970
Idem na to.,969
Čo sa tu deje?,968
Dobrý nápad.,966
"Počkaj, počkaj.",962
Drž sa!,961
Rýchlejšie!,960
Pozri sa na to.,958
Veľmi.,946
Frodo!,944
Bude to v poriadku.,944
Čo to robí?,943
Môj bože.,942
Nemáš za čo.,939
Máte pravdu.,930
Nazdar.,926
"Áno, som.",925
Čo ty na to?,925
Vstaň.,925
Ďalší.,925
Sarah.,923
Ešte raz.,920
"Áno, je.",919
Klameš.,919
Dovi.,918
Frank.,916
Stačilo.,914
Hneď sa vrátim.,914
Počuj.,911
Ja som...,908
Zmizni!,905
Dohodnuté.,905
Počujete ma?,900
Už nie.,900
To je smiešne.,899
Posaďte sa.,897
"Ďakujem, pane.",897
Zastav!,894
Ruky hore!,894
Poďte sem.,892
Máš to?,891
David!,889
Dobrý chlapec.,886
Rád ťa vidím.,886
Páči sa mi to.,884
"Nie, to je v poriadku.",883
Zostaň tu.,881
Claire.,879
Otoč sa.,879
Trochu.,878
Povedz mi.,875
Môžem vám pomôcť?,871
Je mi to tak ľúto.,867
Počúvam.,864
Ako sa darí?,862
Nestrieľajte!,858
To sa mi páči.,858
Mám nápad.,857
Nie som.,856
To vážne?,852
Asi áno.,850
Ľudia!,848
James.,848
Rozhodne.,846
Ale prečo?,843
Vydržte.,843
Mr.,842
Vidíš to?,841
Okamžite!,839
"Raz, dva, tri.",839
Pozri na to.,838
Zajtra.,837
Sme tu.,835
Teraz nie.,834
Walter.,828
Fíha.,827
Nemyslím si.,823
Už je dobre.,822
Čokoľvek.,821
Musíme sa porozprávať.,820
Je tu niekto?,818
Vďaka Bohu.,814
No a čo?,814
Henry.,814
Ponáhľaj sa!,813
Funguje to.,810
Dávaj pozor.,808
Kam idete?,807
Ako sa voláte?,807
To je nemožné.,803
Zvládnem to.,803
Bolí to?,802
Stáť!,801
Musím.,801
Ako chceš.,800
Amy!,798
Čo sa to tu deje?,798
Môže byť.,797
Aj ja teba.,797
Prečo to robíš?,793
Ste si istý?,787
Matt!,786
Postarám sa o to.,785
áno.,784
S dovolením.,784
Je to jasné?,783
Čo povedal?,780
Paul.,778
Prepínam.,778
Anna!,777
Joe!,777
Načo?,776
Ona...,776
To si nemyslím.,776
Zobuď sa!,773
Nerozumiem tomu.,772
Je to možné.,769
Dnes.,767
Čo robíte?,767
Čo tým chceš povedať?,767
Koľko je hodín?,765
Snažím sa.,765
Zatiaľ.,765
Urobím to.,764
O čom to rozprávaš?,763
Nie je tu.,763
Nechaj to tak.,763
Nie som si istý.,762
Will!,761
Budem.,759
Pomôžem ti.,759
Zabijem ťa!,756
Tony.,756
Ďalej.,754
Čo si myslíš?,754
Znova.,753
Pozri sa na seba.,753
Nechcem.,750
Z cesty!,750
A teraz...,749
George!,748
Prosím vás.,747
Nemožné.,746
"Ahoj, zlatko.",745
Na zem!,745
A vy?,744
Poď dnu.,744
Bojím sa.,743
Ty tiež.,742
To je ona.,742
Max!,742
Nádhera.,740
Uhni!,740
Ako sa má?,740
Co?,740
Prekvapenie!,738
Je mi to jedno.,737
Vstúpte.,737
Ako je to možné?,736
Môžeme?,732
Čo to hovoríš?,727
Tu si.,727
Dole!,726
Nechajte ma!,725
Nick!,725
Miláčik.,723
Si to ty?,722
Platí.,722
Pripravení?,719
Ukáž.,719
Nechápem.,716
Vypadni odtiaľto.,716
Mám pravdu?,716
To nie je fér.,715
Idiot.,715
Ihneď!,713
Stačí.,712
Deje sa niečo?,712
Vidím.,711
Eh?,711
Končím.,710
Nemyslím.,709
No jasné.,707
Tati!,707
Tamto.,707
Bobby?,707
"Áno, jasné.",706
Nedotýkaj sa ma!,705
Slečna!,705
Richard!,705
To hej.,704
Čo sa ti stalo?,704
Čo ja viem.,703
Odíď.,702
Jimmy.,702
Dokážeš to.,700
Veselé Vianoce.,700
To je milé.,698
Kde si bola?,697
Tommy!,696
Tu máte.,694
Je to v pohode.,692
Čo je s tebou?,692
Chris!,692
Ryan.,691
Počúvajte ma.,691
Emma!,690
Ja áno.,690
Gandalf!,689
Upokojte sa.,689
Stalo sa niečo?,688
Že?,686
Uh-huh.,686
Bravo!,686
Viete...,685
"Áno, ja viem.",685
Preklad: dusanho,685
"Áno, iste.",684
Uhm.,682
Dýchaj.,681
Hýb sa!,680
nie?,680
Sorry.,680
Všetko najlepšie.,679
Hore!,678
Ani hnúť!,677
Kto vie?,674
Mňa?,673
Čo urobíme?,672
Pretože...,671
Odchádzame.,671
Nemôžeš.,670
Dakujem.,670
"Nie, to nie.",668
Ohh!,668
No poď.,668
Kevin.,668
Hýbte sa!,667
Si tam?,667
Tadeto.,667
Uvidíme sa zajtra.,665
Šéfe!,662
"Ahoj, mami.",662
Bingo.,661
Čo si to povedal?,661
Božemôj.,660
Povedz to.,659
Matka.,659
však?,659
Chápete?,657
Oh môj bože.,657
Bola to nehoda.,655
Myslíš to vážne?,653
Alan!,652
Chápem to.,652
Vyzeráš dobre.,651
Blahoželám.,651
Uhnite!,650
Dokázali sme to!,650
Ustúp!,649
Si pripravený?,648
Chlapci.,648
Zadrž.,646
Počkajte chvíľu.,646
Pane Bože.,646
Máme problém.,646
Je mŕtva.,645
Zvládneš to.,643
Otče!,642
Len tak.,640
To znie dobre.,638
Je to tu.,637
Kate.,637
Danny!,636
Raz.,635
Poď ku mne.,635
Nezmysel.,632
Ako čo?,629
"Samozrejme, že áno.",628
Pravdaže.,628
Prepáč mi to.,628
Kde to je?,628
Ako dlho?,625
Počuješ?,623
Je tam niekto?,623
Whoo!,621
Otvor dvere!,620
O čo tu ide?,620
Bum!,620
Dofrasa.,618
Pozrite sa na to.,618
Držte sa!,618
Hneď som tam.,617
Je to dôležité.,616
A čo vy?,615
Skončili sme.,614
Páči sa ti to?,613
Fuj!,612
Vrátim sa.,611
Mary.,611
Deti.,611
Absolútne.,611
Fantastické.,609
"Nie, počkaj.",608
Spomaľ.,608
Go!,608
Ou.,607
Ja nemôžem.,607
"Dobre, poďme.",607
"Prosím, nie.",605
Nič sa nestalo.,604
Neskôr.,604
"Och, nie.",603
"Nie, ja...",603
Bob.,602
Plukovník.,602
Si.,602
Moja chyba.,601
"Nie, prosím.",601
Budem v poriadku.,600
"Áno, to je.",600
Shh.,598
To sa nestane.,598
Vyzerá to tak.,596
To je neuveriteľné.,595
Úplne.,593
Ale čo?,593
Počul si to?,592
Hneď teraz.,591
Vieš to.,590
"Áno, ďakujem.",589
Vypadnime odtiaľto.,589
Otvorte dvere!,588
No do riti.,588
Je tam.,588
Pokojne.,586
Kde ste?,585
Pozri sa na toto.,585
Čaute.,584
Prečo si tu?,583
Nič sa nedeje.,583
Páči sa ti?,582
Pamätáš?,581
Človeče.,581
"Nie, nie som.",581
Dočerta!,580
Choď domov.,579
Uvidíš.,579
Bill.,579
Ako to viete?,579
"Áno, prosím.",579
Niečo ti poviem.,578
Čo prosím?,578
Utekajte!,578
Ľutujem.,577
Bastard!,577
Počkaj tu.,575
Vypni to.,574
Nazdravie.,574
Rachel.,573
Videl si to?,572
To si ty.,572
Prepáčte mi.,571
Zatiaľ nie.,570
Ow!,570
Blbosť.,570
Domov.,570
Vždy.,569
Braček!,568
Mal si pravdu.,568
Jim.,567
Pravdepodobne.,567
Žiaden problém.,566
Pripravte sa.,566
A čo ja?,565
S kým?,565
"Dobre, fajn.",565
Poďte so mnou.,564
Verte mi.,564
Al!,563
"Áno, dobre.",563
Preč!,562
čo?,562
Zostaň.,561
Je tak?,561
Eddie!,561
Nerobte to.,559
A je to tu.,559
"Áno, áno, áno.",558
Si blázon.,557
Zbláznila si sa?,557
Rozkaz.,557
Sleduj.,556
Nechaj ho.,555
Halo?,555
Sestra!,555
Kde to sme?,554
Nechápem to.,554
Otvorte!,553
To nie je dobré.,553
Castle.,552
Jeden.,552
Ty si...,551
Päť.,550
Jane.,548
Profesor.,547
Daniel?,546
Čo to kurva je?,545
Skvele.,544
Seržant.,544
"Ahoj, oci.",544
Vďaka bohu.,544
